"t","x1","x2"
0,1,0
0.05,1.00125023436686,0.0500177055331625
0.1,1.00500317598796,0.1001165800284
0.15,1.01126349283893,0.150308247392163
0.2,1.02003450435555,0.200526792137258
0.25,1.03131424959391,0.250626558609566
0.3,1.04509145198767,0.300380370483714
0.35,1.06134142575223,0.349479147697596
0.4,1.08002202007193,0.39753398255515
0.45,1.10106975148401,0.44408177240746
0.5,1.12439632873043,0.488595445556138
0.55,1.14988582171122,0.530499610010692
0.6,1.1773927586176,0.56919205953877
0.65,1.20674144283523,0.604070969074477
0.7,1.23772675376287,0.634566823618771
0.75,1.27011662569597,0.660177228600073
0.8,1.30365628417157,0.680501883024993
0.85,1.33807416561959,0.695274344242462
0.9,1.37308926946413,0.704386970032305
0.95,1.40841951652665,0.707905741213846
1,1.44379054347282,0.706072594590667
1.05,1.47894427884326,0.699294337644545
1.1,1.51364664226432,0.688118936136473
1.15,1.54769379062131,0.673201633296121
1.2,1.58091649208304,0.655264637648754
1.25,1.61318241469162,0.635054757460739
1.3,1.64439633589267,0.613303271596129
1.35,1.67449847777584,0.590691590134658
1.4,1.7034613224669,0.567825088336209
1.45,1.73128534819645,0.545216169880161
1.5,1.75799414781839,0.523276387159879
1.55,1.78362935787569,0.502316499941161
1.6,1.80824575429534,0.482552772650066
1.65,1.83190677888122,0.46411758875051
1.7,1.85468066540917,0.447072530072452
1.75,1.87663724752117,0.431422333193969
1.8,1.89784546005025,0.4171284975746
1.85,1.91837149374037,0.404121702291883
1.9,1.93827753008094,0.392312536150555
1.95,1.95762096561657,0.38160033025894
2,1.97645403012412,0.371880093064192
2.05,1.99482370684158,0.363047688648232
2.1,2.01277187222863,0.355003480463182
2.15,2.03033558489622,0.347654698103629
2.2,2.04754746640396,0.340916787524764
2.25,2.06443612925711,0.334713986931626
2.3,2.08102661883116,0.328979340604002
2.35,2.09734084570195,0.323654327965662
2.4,2.11339799283614,0.318688249881708
2.45,2.12921488836188,0.314037481357301
2.5,2.14480633936111,0.309664671084487
2.55,2.16018542552736,0.305537944279294
2.6,2.17536375385412,0.301630145989665
2.65,2.19035167698914,0.297918147180491
2.7,2.20515847871413,0.294382224859573
2.75,2.21979253036482,0.291005519664052
2.8,2.23426142203559,0.287773569048918
2.85,2.24857207223054,0.284673910925447
2.9,2.26273081931449,0.281695750781193
2.95,2.27674349774646,0.27882968455197
3,2.29061550168798,0.276067469472086
3.05,2.30435183819876,0.273401835540565
3.1,2.31795717188018,0.270826330913876
3.15,2.3314358625122,0.268335195330924
3.2,2.34479199695512,0.265923256499237
3.25,2.35802941635406,0.263585845161884
3.3,2.37115173948835,0.261318725287607
3.35,2.38416238294665,0.259118036464623
3.4,2.39706457867648,0.25698024612662
3.45,2.40986138935027,0.254902109700311
3.5,2.42255572190428,0.252880637144795
3.55,2.43515033953852,0.250913064663338
3.6,2.44764787241077,0.248996830618285
3.65,2.46005082721521,0.247129554879388
3.7,2.47236159580127,0.245309020994008
3.75,2.48458246296114,0.24353316069236
3.8,2.49671561349277,0.241800040338865
3.85,2.50876313862734,0.240107849017464
3.9,2.52072704189662,0.238454887998938
3.95,2.53260924450378,0.23683956138549
4,2.54441159025244,0.235260367765061
4.05,2.55613585008069,0.233715892737225
4.1,2.56778372624072,0.232204802195894
4.15,2.57935685615957,0.230725836272747
4.2,2.59085681601179,0.229277803860351
4.25,2.60228512403133,0.227859577646193
4.3,2.61364324358665,0.226470089598813
4.35,2.62493258604035,0.225108326855498
4.4,2.63615451341236,0.223773327967842
4.45,2.64731034086349,0.222464179467225
4.5,2.65840133901461,0.221180012717071
4.55,2.66942873611495,0.219920001022879
4.6,2.68039372007185,0.2186833569745
4.65,2.69129744035293,0.217469329998124
4.7,2.7021410097707,0.21627720409805
4.75,2.71292550615864,0.215106295770538
4.8,2.72365197394687,0.213955952073968
4.85,2.73432142564507,0.212825548841267
4.9,2.74493484323916,0.21171448902201
4.95,2.75549317950824,0.210622201142936
5,2.7659973592672,0.209548137876731
5.05,2.77644828054031,0.208491774709998
5.1,2.78684681567055,0.207452608702156
5.15,2.79719381236893,0.206430157327881
5.2,2.80749009470798,0.20542395739635
5.25,2.8177364640629,0.204433564041218
5.3,2.82793370000391,0.203458549775789
5.35,2.83808256114287,0.202498503608372
5.4,2.8481837859371,0.201553030213237
5.45,2.85823809345299,0.200621749153023
5.5,2.86824618409203,0.199704294148773
5.55,2.87820874028135,0.198800312394132
5.6,2.8881264271311,0.197909463910523
5.65,2.89799989306052,0.197031420940379
5.7,2.90782977039452,0.196165867375775
5.75,2.91761667593261,0.195312498219972
5.8,2.92736121149164,0.194471019079651
5.85,2.93706396442383,0.193641145685728
5.9,2.94672550811163,0.192822603440855
5.95,2.95634640244043,0.192015126991827
6,2.96592719425067,0.191218459825276
6.05,2.97546841777006,0.190432353885133
6.1,2.98497059502743,0.189656569210477
6.15,2.99443423624874,0.188890873592468
6.2,3.00385984023651,0.188135042249179
6.25,3.01324789473342,0.187388857517211
6.3,3.02259887677079,0.186652108559064
6.35,3.03191325300296,0.185924591085309
6.4,3.04119148002795,0.18520610709067
6.45,3.05043400469538,0.184496464603193
6.5,3.05964126440214,0.183795477445723
6.55,3.06881368737639,0.183102965008983
6.6,3.0779516929505,0.182418752035574
6.65,3.08705569182349,0.181742668414285
6.7,3.09612608631336,0.181074548984116
6.75,3.10516327059993,0.180414233347476
6.8,3.11416763095851,0.179761565692047
6.85,3.12313954598486,0.179116394620837
6.9,3.1320793868119,0.178478572989971
6.95,3.14098751731846,0.177847957753807
