"Time","Bacteroidia","Clostridia_258483","Negativicutes","Gammaproteobacteria","Bacilli","Desulfovibrionia","Actinomycetia","Verrucomicrobiae","Coriobacteriia","Campylobacteria","Bacteria_Kingdom","Fusobacteriia"
0,0.727111111111111,0.194611111111111,0.0112222222222222,0,0.000277777777777778,0.0134444444444444,0,0.000333333333333333,0,0.000111111111111111,0.0528888888888889,0
1,0.643555555555556,0.308944444444444,0.0147222222222222,0.00133333333333333,0.00161111111111111,0.0113888888888889,0.00122222222222222,0,0,0.000111111111111111,0.0171111111111111,0
2,0.675222222222222,0.216944444444444,0.0129444444444444,0,0.000111111111111111,0.0114444444444444,0.00133333333333333,0,0,0,0.082,0
3,0.707555555555556,0.243444444444444,0.0316111111111111,0.00161111111111111,0.000777777777777778,0.00722222222222222,0,0,0,0,0.00777777777777778,0
4,0.448944444444444,0.454388888888889,0.0380555555555556,0.000777777777777778,0.00383333333333333,0.00544444444444444,0.00611111111111111,0,0.00222222222222222,0.000166666666666667,0.0400555555555556,0
5,0.586055555555556,0.2895,0.0595,5.55555555555556e-05,0.00372222222222222,0.00433333333333333,0.00255555555555556,0,0.000555555555555556,0.000166666666666667,0.0535555555555556,0
6,0.639388888888889,0.297722222222222,0.0309444444444444,0.000666666666666667,0.00283333333333333,0.00555555555555556,0.00172222222222222,0,0.000277777777777778,0.000222222222222222,0.0206666666666667,0
7,0.7245,0.219111111111111,0.0328333333333333,0.00116666666666667,0.000611111111111111,0.0143333333333333,0.000555555555555556,0,0,0,0.00688888888888889,0
8,0.774611111111111,0.1925,0.018,0,0.000277777777777778,0.0126666666666667,0,0,0,0,0.00194444444444444,0
9,0.462388888888889,0.401555555555556,0.0220555555555556,5.55555555555556e-05,0.0025,0.00838888888888889,0.0106666666666667,0,5e-04,0.00244444444444444,0.0893333333333333,0
10,0.772722222222222,0.185555555555556,0.0258888888888889,0.000388888888888889,0.000555555555555556,0.00977777777777778,0,0,0,0.000111111111111111,0.005,0
11,0.527333333333333,0.296555555555556,0.0355555555555556,5.55555555555556e-05,0.00211111111111111,0.00633333333333333,0.0103888888888889,0,0.000444444444444444,0.00227777777777778,0.118888888888889,0
12,0.634277777777778,0.3125,0.0361666666666667,0.00305555555555556,0.000666666666666667,0.00572222222222222,0.00222222222222222,0,0.00105555555555556,0.000888888888888889,0.00338888888888889,0
13,0.654944444444444,0.314777777777778,0.0122222222222222,0.000388888888888889,0.00244444444444444,0.0136111111111111,0.000111111111111111,0,0,0.000111111111111111,0.00138888888888889,0
14,0.486222222222222,0.444333333333333,0.028,0.000222222222222222,0.00238888888888889,0.00994444444444444,0.0151111111111111,0,0.00233333333333333,0.00383333333333333,0.00761111111111111,0
15,0.522166666666667,0.384333333333333,0.0320555555555556,0.000111111111111111,0.00183333333333333,0.00877777777777778,0.00755555555555556,0,0.001,0.00338888888888889,0.0387222222222222,0
16,0.543388888888889,0.407388888888889,0.0238888888888889,0.000277777777777778,0.000944444444444444,0.00816666666666667,0.00494444444444444,0.000166666666666667,0.00127777777777778,0.00233333333333333,0.00722222222222222,0
17,0.484555555555556,0.376166666666667,0.0346111111111111,0.000222222222222222,0.00216666666666667,0.00561111111111111,0.00738888888888889,0.00777777777777778,0.00188888888888889,0.00138888888888889,0.0782222222222222,0
18,0.546055555555556,0.302,0.045,0.000277777777777778,0.000722222222222222,0.00433333333333333,0.0145555555555556,0.0495,0.00122222222222222,0.00333333333333333,0.0325555555555556,0
19,0.686777777777778,0.286222222222222,0.0186666666666667,0.000444444444444444,0.000833333333333333,0.00488888888888889,5.55555555555556e-05,0.00183333333333333,0,0.000111111111111111,0.000166666666666667,0
20,0.538222222222222,0.368777777777778,0.0463333333333333,0.000111111111111111,0.000888888888888889,0.00461111111111111,0.00972222222222222,0.00372222222222222,0.00772222222222222,0.00394444444444444,0.0158333333333333,0
21,0.697111111111111,0.277722222222222,0.0153888888888889,0.000833333333333333,0.000611111111111111,0.00611111111111111,0,0.00155555555555556,0,0.000111111111111111,0.000555555555555556,0
22,0.666222222222222,0.300166666666667,0.0229444444444444,0.000388888888888889,5e-04,0.0045,0,0.0045,0,0.000277777777777778,5e-04,0
23,0.609333333333333,0.334555555555556,0.0195555555555556,0.000777777777777778,0.00244444444444444,0.00605555555555556,5e-04,0.0236111111111111,0,0.000666666666666667,0.0025,0
24,0.704666666666667,0.262666666666667,0.0166111111111111,0.000333333333333333,0.00177777777777778,0.00488888888888889,0,0.00822222222222222,5.55555555555556e-05,0.000166666666666667,0.000611111111111111,0
