"Time","Gammaproteobacteria","Alphaproteobacteria","Bacteroidia","Clostridia_258483","Bacilli","Negativicutes","Coriobacteriia","Actinomycetia","Desulfovibrionia","Bacteria_Kingdom","Campylobacteria","Fusobacteriia"
0,0.00705555555555556,0,0.364,0.5495,0.0327777777777778,0.0323333333333333,0.00983333333333333,0.00161111111111111,0.00211111111111111,0.000777777777777778,0,0
1,0.00594444444444444,0,0.311,0.599555555555556,0.0525,0.0177222222222222,0.00755555555555556,0.00444444444444444,0.000333333333333333,0.000833333333333333,5.55555555555556e-05,0
2,0.00572222222222222,0,0.340222222222222,0.590444444444444,0.0395,0.0156666666666667,0.00338888888888889,0.0045,0.000277777777777778,0.000222222222222222,5.55555555555556e-05,0
3,0.00310077519379845,0,0.362569213732004,0.588261351052049,0.0197674418604651,0.0168327796234773,0.00326688815060908,0.00592469545957918,0.000110741971207087,0.000166112956810631,0,0
4,0.000777777777777778,0,0.369333333333333,0.591777777777778,0.00788888888888889,0.0185555555555556,0.004,0.00738888888888889,5.55555555555556e-05,0.000222222222222222,0,0
5,0.00111111111111111,0,0.341611111111111,0.579055555555556,0.0201666666666667,0.0126666666666667,0.0389444444444444,0.00477777777777778,0.000888888888888889,5e-04,0,0
6,0.0158333333333333,0.000222222222222222,0.583277777777778,0.350111111111111,0.0232777777777778,0.0216666666666667,0.00261111111111111,0.00166666666666667,0.00127777777777778,5.55555555555556e-05,0,0
7,0.0110555555555556,5.55555555555556e-05,0.481444444444444,0.428833333333333,0.0478888888888889,0.0196666666666667,0.00566666666666667,0.00361111111111111,0.00144444444444444,0.000277777777777778,5.55555555555556e-05,0
8,0.00633333333333333,0,0.295944444444444,0.594611111111111,0.0732222222222222,0.0117777777777778,0.00833333333333333,0.00722222222222222,0.00188888888888889,0.000666666666666667,0,0
9,0.00422222222222222,0.000277777777777778,0.171888888888889,0.732333333333333,0.0641111111111111,0.0103333333333333,0.00944444444444444,0.00738888888888889,0,0,0,0
10,0.000888888888888889,0,0.378888888888889,0.531444444444444,0.0492777777777778,0.0213888888888889,0.011,0.006,0.00111111111111111,0,0,0
11,0.00672222222222222,0.00105555555555556,0.442444444444444,0.475,0.035,0.0243333333333333,0.00722222222222222,0.00394444444444444,0.00305555555555556,5e-04,5.55555555555556e-05,0
12,0.0118333333333333,0.0025,0.476333333333333,0.448388888888889,0.0229444444444444,0.0250555555555556,0.002,0.00355555555555556,0.00511111111111111,0.001,0,0
13,0.000722222222222222,0.000277777777777778,0.278055555555556,0.634111111111111,0.0577777777777778,0.0171111111111111,0.00627777777777778,0.00344444444444444,0.00183333333333333,0.000388888888888889,0,0
14,0.0140555555555556,5.55555555555556e-05,0.432111111111111,0.467388888888889,0.0413333333333333,0.0372777777777778,0.00583333333333333,0.000722222222222222,0.001,5.55555555555556e-05,0,0.000166666666666667
15,0.0722777777777778,0.000277777777777778,0.312444444444444,0.533222222222222,0.0381111111111111,0.0368333333333333,0.00155555555555556,0.00394444444444444,0.000611111111111111,0.000388888888888889,0.000222222222222222,5.55555555555556e-05
16,0.00822222222222222,0,0.449222222222222,0.467388888888889,0.0273888888888889,0.033,0.00766666666666667,0.00322222222222222,0.00361111111111111,0.000277777777777778,0,0
17,0.0227222222222222,0,0.364777777777778,0.493333333333333,0.092,0.0142222222222222,0.00511111111111111,0.0055,0.00227777777777778,0,5.55555555555556e-05,0
18,0.00555555555555556,0.000611111111111111,0.332444444444444,0.614444444444444,0.0229444444444444,0.0125555555555556,0.00361111111111111,0.00705555555555556,0.000333333333333333,0.000444444444444444,0,0
19,0.00420936028800886,0.000498476876211576,0.315591248961507,0.631071725283855,0.0247576848518416,0.0139019662143451,0.00254777070063694,0.00697867626696206,0.000166158958737192,0.000166158958737192,0,0
20,0.00455555555555556,0.000611111111111111,0.311722222222222,0.626888888888889,0.0316111111111111,0.0154444444444444,0.00222222222222222,0.00644444444444444,0.000111111111111111,0.000111111111111111,0,0
21,0.0075,0.000555555555555556,0.436888888888889,0.471833333333333,0.0738333333333333,0.00472222222222222,0.00216666666666667,0.00222222222222222,0,0.000222222222222222,5.55555555555556e-05,0
22,0.00333333333333333,0,0.328166666666667,0.611111111111111,0.0456111111111111,0.00555555555555555,5e-04,0.00566666666666667,0,5.55555555555556e-05,0,0
23,0.017,5e-04,0.291666666666667,0.544722222222222,0.115222222222222,0.0252222222222222,0.00266666666666667,0.00255555555555556,0.000222222222222222,0.000111111111111111,0.000111111111111111,0
24,0.0025,0,0.374333333333333,0.508333333333333,0.0860555555555556,0.0183888888888889,0.00255555555555556,0.00433333333333333,0.00344444444444444,5.55555555555556e-05,0,0
25,0.00705555555555556,0,0.352222222222222,0.535166666666667,0.083,0.00838888888888889,0.00716666666666667,0.00288888888888889,0.00327777777777778,0.000833333333333333,0,0
26,0.00527777777777778,0.000277777777777778,0.00844444444444445,0.889333333333333,0.0800555555555556,0.00305555555555556,0.00477777777777778,0.00866666666666667,0.000111111111111111,0,0,0
27,0.0105,0,0.355611111111111,0.550388888888889,0.0313888888888889,0.0364444444444444,0.00988888888888889,0.00366666666666667,0.00105555555555556,0.000833333333333333,0.000222222222222222,0
28,5e-04,0,0.120833333333333,0.786722222222222,0.0671111111111111,0.0105,0.00894444444444444,0.00405555555555556,0.000388888888888889,0.000944444444444444,0,0
29,0.00183333333333333,0.000111111111111111,0.318388888888889,0.409333333333333,0.238944444444444,0.0217777777777778,0.00211111111111111,0.00233333333333333,0.000833333333333333,0.00427777777777778,0,0
30,0.0035,0,0.251277777777778,0.635055555555556,0.0935,0.00916666666666667,0.00144444444444444,0.005,0.000111111111111111,0.000944444444444444,0,0
31,0.00244444444444444,0,0.241111111111111,0.626666666666667,0.112944444444444,0.0095,0.00294444444444444,0.00377777777777778,0.000166666666666667,0.000444444444444444,0,0
32,0.000333333333333333,0,0.291222222222222,0.570777777777778,0.118388888888889,0.0105555555555556,0.00577777777777778,0.00244444444444444,0.000166666666666667,0.000333333333333333,0,0
33,0.00105555555555556,0,0.273222222222222,0.623833333333333,0.0802222222222222,0.0121111111111111,0.00494444444444444,0.00444444444444444,5.55555555555556e-05,0.000111111111111111,0,0
34,0.00222222222222222,0,0.382111111111111,0.548666666666667,0.0391111111111111,0.0190555555555556,0.003,0.00422222222222222,0.00138888888888889,0.000222222222222222,0,0
35,0.00544444444444444,0.000222222222222222,0.389166666666667,0.538388888888889,0.0325555555555556,0.0257777777777778,0.00188888888888889,0.00488888888888889,0.0015,0.000111111111111111,5.55555555555556e-05,0
36,0.00822222222222222,0.000277777777777778,0.386111111111111,0.534722222222222,0.0263333333333333,0.0380555555555556,0.00161111111111111,0.00416666666666667,0.000166666666666667,0.000277777777777778,5.55555555555556e-05,0
37,0.0153333333333333,0,0.358944444444444,0.531944444444444,0.0668333333333333,0.0146111111111111,0.00477777777777778,0.00544444444444444,0.00161111111111111,5e-04,0,0
38,0.00538888888888889,0.000222222222222222,0.3115,0.608277777777778,0.0499444444444444,0.0152222222222222,0.00394444444444444,0.005,0.000444444444444444,5.55555555555556e-05,0,0
39,0.00577777777777778,0,0.4835,0.470777777777778,0.0220555555555556,0.0102222222222222,0.000666666666666667,0.00438888888888889,0.00144444444444444,0.00116666666666667,0,0
40,0.00416666666666667,0,0.380833333333333,0.555666666666667,0.0401666666666667,0.0111666666666667,0.000888888888888889,0.00544444444444444,0.001,0.000666666666666667,0,0
