"Time","Proteobacteria","Bacteroidota","Firmicutes_A","Firmicutes_D","Firmicutes_C","Actinobacteriota","Desulfobacterota_I","Cyanobacteria","Verrucomicrobiota","Bacteria_Kingdom","Campylobacterota","Fusobacteriota","Synergistota"
0,0.00705555555555556,0.364,0.5495,0.0327777777777778,0.0323333333333333,0.0114444444444444,0.00211111111111111,0,0,0.000777777777777778,0,0,0
1,0.00594444444444444,0.311,0.599555555555556,0.0525,0.0177222222222222,0.012,0.000333333333333333,0,0,0.000833333333333333,5.55555555555556e-05,0,5.55555555555556e-05
2,0.00572222222222222,0.340222222222222,0.590444444444444,0.0395,0.0156666666666667,0.00788888888888889,0.000277777777777778,0,0,0.000222222222222222,5.55555555555556e-05,0,0
3,0.00310077519379845,0.362569213732004,0.588261351052049,0.0197674418604651,0.0168327796234773,0.00919158361018826,0.000110741971207087,0,0,0.000166112956810631,0,0,0
4,0.000777777777777778,0.369333333333333,0.591777777777778,0.00788888888888889,0.0185555555555556,0.0113888888888889,5.55555555555556e-05,0,0,0.000222222222222222,0,0,0
5,0.00111111111111111,0.341611111111111,0.579055555555556,0.0201666666666667,0.0126666666666667,0.0437222222222222,0.000888888888888889,0.000222222222222222,0,5e-04,0,0,5.55555555555556e-05
6,0.0160555555555556,0.583277777777778,0.350111111111111,0.0232777777777778,0.0216666666666667,0.00427777777777778,0.00127777777777778,0,0,5.55555555555556e-05,0,0,0
7,0.0111111111111111,0.481444444444444,0.428833333333333,0.0478888888888889,0.0196666666666667,0.00927777777777778,0.00144444444444444,0,0,0.000277777777777778,5.55555555555556e-05,0,0
8,0.00633333333333333,0.295944444444444,0.594611111111111,0.0732222222222222,0.0117777777777778,0.0155555555555556,0.00188888888888889,0,0,0.000666666666666667,0,0,0
9,0.0045,0.171888888888889,0.732333333333333,0.0641111111111111,0.0103333333333333,0.0168333333333333,0,0,0,0,0,0,0
10,0.000888888888888889,0.378888888888889,0.531444444444444,0.0492777777777778,0.0213888888888889,0.017,0.00111111111111111,0,0,0,0,0,0
11,0.00777777777777778,0.442444444444444,0.475,0.035,0.0243333333333333,0.0111666666666667,0.00305555555555556,0.000666666666666667,0,5e-04,5.55555555555556e-05,0,0
12,0.0143333333333333,0.476333333333333,0.448388888888889,0.0229444444444444,0.0250555555555556,0.00555555555555556,0.00511111111111111,0.00122222222222222,0,0.001,0,0,5.55555555555556e-05
13,0.001,0.278055555555556,0.634111111111111,0.0577777777777778,0.0171111111111111,0.00972222222222222,0.00183333333333333,0,0,0.000388888888888889,0,0,0
14,0.0141111111111111,0.432111111111111,0.467388888888889,0.0413333333333333,0.0372777777777778,0.00655555555555556,0.001,0,0,5.55555555555556e-05,0,0.000166666666666667,0
15,0.0725555555555556,0.312444444444444,0.533222222222222,0.0381111111111111,0.0368333333333333,0.0055,0.000611111111111111,0,0,0.000388888888888889,0.000222222222222222,5.55555555555556e-05,0
16,0.00822222222222222,0.449222222222222,0.467388888888889,0.0273888888888889,0.033,0.0108888888888889,0.00361111111111111,0,0,0.000277777777777778,0,0,0
17,0.0227222222222222,0.364777777777778,0.493333333333333,0.092,0.0142222222222222,0.0106111111111111,0.00227777777777778,0,0,0,5.55555555555556e-05,0,0
18,0.00616666666666667,0.332444444444444,0.614444444444444,0.0229444444444444,0.0125555555555556,0.0106666666666667,0.000333333333333333,0,0,0.000444444444444444,0,0,0
19,0.00470783716422044,0.315591248961507,0.631071725283855,0.0247576848518416,0.0139019662143451,0.009526446967599,0.000166158958737192,0,0,0.000166158958737192,0,0,0
20,0.00516666666666667,0.311722222222222,0.626888888888889,0.0316111111111111,0.0154444444444444,0.00866666666666667,0.000111111111111111,0,0,0.000111111111111111,0,0,0
21,0.00805555555555556,0.436888888888889,0.471833333333333,0.0738333333333333,0.00472222222222222,0.00438888888888889,0,0,0,0.000222222222222222,5.55555555555556e-05,0,0
22,0.00333333333333333,0.328166666666667,0.611111111111111,0.0456111111111111,0.00555555555555555,0.00616666666666667,0,0,0,5.55555555555556e-05,0,0,0
23,0.0175,0.291666666666667,0.544722222222222,0.115222222222222,0.0252222222222222,0.00522222222222222,0.000222222222222222,0,0,0.000111111111111111,0.000111111111111111,0,0
24,0.0025,0.374333333333333,0.508333333333333,0.0860555555555556,0.0183888888888889,0.00688888888888889,0.00344444444444444,0,0,5.55555555555556e-05,0,0,0
25,0.00705555555555556,0.352222222222222,0.535166666666667,0.083,0.00838888888888889,0.0100555555555556,0.00327777777777778,0,0,0.000833333333333333,0,0,0
26,0.00555555555555556,0.00844444444444445,0.889333333333333,0.0800555555555556,0.00305555555555556,0.0134444444444444,0.000111111111111111,0,0,0,0,0,0
27,0.0105,0.355611111111111,0.550388888888889,0.0313888888888889,0.0364444444444444,0.0135555555555556,0.00105555555555556,0,0,0.000833333333333333,0.000222222222222222,0,0
28,5e-04,0.120833333333333,0.786722222222222,0.0671111111111111,0.0105,0.013,0.000388888888888889,0,0,0.000944444444444444,0,0,0
29,0.00194444444444444,0.318388888888889,0.409333333333333,0.238944444444444,0.0217777777777778,0.00444444444444444,0.000833333333333333,0,0,0.00427777777777778,0,0,5.55555555555556e-05
30,0.0035,0.251277777777778,0.635055555555556,0.0935,0.00916666666666667,0.00644444444444444,0.000111111111111111,0,0,0.000944444444444444,0,0,0
31,0.00244444444444444,0.241111111111111,0.626666666666667,0.112944444444444,0.0095,0.00672222222222222,0.000166666666666667,0,0,0.000444444444444444,0,0,0
32,0.000333333333333333,0.291222222222222,0.570777777777778,0.118388888888889,0.0105555555555556,0.00822222222222222,0.000166666666666667,0,0,0.000333333333333333,0,0,0
33,0.00105555555555556,0.273222222222222,0.623833333333333,0.0802222222222222,0.0121111111111111,0.00938888888888889,5.55555555555556e-05,0,0,0.000111111111111111,0,0,0
34,0.00222222222222222,0.382111111111111,0.548666666666667,0.0391111111111111,0.0190555555555556,0.00722222222222222,0.00138888888888889,0,0,0.000222222222222222,0,0,0
