"Time","Veillonellaceae","Streptococcaceae","Moraxellaceae","Dialisteraceae","Lactobacillaceae","Burkholderiaceae_A_592522","Bacteroidaceae","Lachnospiraceae","Ruminococcaceae","Coprobacillaceae","Peptostreptococcaceae_256921","Oscillospiraceae_88309","Acidaminococcaceae","Butyricicoccaceae","Eggerthellaceae","Muribaculaceae","Clostridia_258483_Class","UBA1381","CAG-138","CAG-74","Anaerotignaceae","UBA660","Xanthomonadaceae_616009","Gammaproteobacteria_Class","Rikenellaceae","Monoglobaceae","Akkermansiaceae","Enterobacteriaceae_A","Bacteria_Kingdom","Clostridiaceae_222000","Erysipelotrichaceae","Acutalibacteraceae","Anaerovoracaceae","CAG-272","Oscillospirales_Order","CAG-382","Peptoniphilaceae","CAG-508","Massilibacillaceae"
10,0,5.55555555555556e-05,0.00238888888888889,0,0.000222222222222222,5e-04,0.458055555555556,0.131833333333333,0.222277777777778,0.0105555555555556,0.000833333333333333,0.0505,0.0116666666666667,0.00816666666666667,0.00772222222222222,0.0194444444444444,0.00211111111111111,0.00511111111111111,0.00366666666666667,0.00211111111111111,0.001,0.0121111111111111,0,0,0.00822222222222222,0.000555555555555556,5.55555555555556e-05,0,0.00205555555555556,0,0.000222222222222222,0.0337222222222222,0.00205555555555556,5.55555555555556e-05,0.00116666666666667,0.000277777777777778,0,0.000555555555555556,0
11,5.55555555555556e-05,0.000166666666666667,0,0,5.55555555555556e-05,0,0.481833333333333,0.110666666666667,0.259888888888889,0.0107777777777778,0.000555555555555556,0.0322222222222222,0.0168888888888889,0.006,0.00861111111111111,0.0283888888888889,0.000722222222222222,0.00277777777777778,0.000388888888888889,0.00333333333333333,0.00233333333333333,0.0065,0,0,0.00388888888888889,0.000777777777777778,0,0,0.00183333333333333,0,0.000277777777777778,0.0177222222222222,0.00161111111111111,0.000277777777777778,0.000388888888888889,5.55555555555556e-05,0,0.000666666666666667,0
12,5.55555555555556e-05,0.000388888888888889,0,0,0.000333333333333333,0,0.522166666666667,0.0848333333333333,0.205611111111111,0.0110555555555556,0.000277777777777778,0.0591111111111111,0.0239444444444444,0.00216666666666667,0.00716666666666667,0.0302777777777778,0.000888888888888889,0.00311111111111111,0.00405555555555556,0.00205555555555556,0.00361111111111111,0.0119444444444444,0,0,0.00344444444444444,0.001,0.000166666666666667,5.55555555555556e-05,0.00255555555555556,0,0.000277777777777778,0.0132777777777778,0.00311111111111111,5.55555555555556e-05,0.00122222222222222,5.55555555555556e-05,0,0.000888888888888889,0
13,0,0.000111111111111111,0.000111111111111111,0,0.000166666666666667,0,0.483388888888889,0.152166666666667,0.228833333333333,0.00944444444444444,0.000222222222222222,0.0240555555555556,0.0143333333333333,0.00222222222222222,0.00672222222222222,0.0228333333333333,0.000777777777777778,0.00127777777777778,0.000777777777777778,0.00144444444444444,0.00105555555555556,0.0121111111111111,0,5.55555555555556e-05,0.0112777777777778,5e-04,5.55555555555556e-05,0,0.00238888888888889,0,0.000277777777777778,0.0202222222222222,0.000888888888888889,0.000111111111111111,0.000444444444444444,0.000388888888888889,5.55555555555556e-05,0.000611111111111111,0
14,0,0,0,0,5.55555555555556e-05,0,0.674333333333333,0.0627777777777778,0.0945,0.0015,0,0.0388888888888889,0.0338888888888889,0.00138888888888889,0.00283333333333333,0.0376111111111111,0.000222222222222222,0.00133333333333333,0.000555555555555556,0.000611111111111111,0.00161111111111111,0.0136111111111111,0,0,0.0204444444444444,0.000222222222222222,0,5.55555555555556e-05,0.00316666666666667,0,0,0.00544444444444444,0.00161111111111111,0.000111111111111111,0.00188888888888889,0.000333333333333333,0,0.000611111111111111,0
15,0,0.000111111111111111,0,0,0,0.000222222222222222,0.517,0.132777777777778,0.165166666666667,0.00444444444444444,0,0.0527777777777778,0.0288888888888889,0.00244444444444444,0.0111666666666667,0.0272777777777778,0.00122222222222222,0.00211111111111111,0.0015,0.00133333333333333,0.00105555555555556,0.013,0,0,0.0166111111111111,0.00111111111111111,0.000277777777777778,0,0.00322222222222222,0,0.000166666666666667,0.00872222222222222,0.00205555555555556,5.55555555555556e-05,0.00283333333333333,5e-04,5.55555555555556e-05,0.00111111111111111,0
16,0,0,0,0,0,0,0.587166666666667,0.1425,0.121444444444444,0.00361111111111111,5.55555555555556e-05,0.0327222222222222,0.0208888888888889,0.00761111111111111,0.00683333333333333,0.0167777777777778,0.00127777777777778,0.00138888888888889,0.000166666666666667,0.000388888888888889,0.000722222222222222,0.00183333333333333,0,0,0.00955555555555556,0.000555555555555556,0,0,0.00255555555555556,0,0.000222222222222222,0.0392222222222222,0.00138888888888889,0.000222222222222222,5.55555555555556e-05,5.55555555555556e-05,0,0.000388888888888889,0
17,0,0,0,0,5.55555555555556e-05,0,0.397444444444444,0.181222222222222,0.2275,0.0162777777777778,5.55555555555556e-05,0.047,0.0142777777777778,0.01,0.0147777777777778,0.0138333333333333,0.00255555555555556,0.00366666666666667,0.000222222222222222,0.000833333333333333,0.000722222222222222,0.008,0,0,0.0075,0.000833333333333333,5.55555555555556e-05,0,0.00261111111111111,0,0.000222222222222222,0.0448333333333333,0.00194444444444444,0.000166666666666667,0.00122222222222222,0,0.000444444444444444,0.000444444444444444,0
18,5.55555555555556e-05,0.000222222222222222,0,0,0,5.55555555555556e-05,0.472944444444444,0.191777777777778,0.226444444444444,0.00555555555555556,0,0.0238888888888889,0.0120555555555556,0.00588888888888889,0.00822222222222222,0.0160555555555556,5e-04,0.00177777777777778,0.000222222222222222,0.000666666666666667,0.000777777777777778,0.006,0,0,0.00838888888888889,0.000222222222222222,0,0,0.00177777777777778,0.000111111111111111,0,0.0121666666666667,0.00122222222222222,0.000388888888888889,0.000833333333333333,5.55555555555556e-05,0,0.00122222222222222,0
19,0,0.000833333333333333,0,0,5.55555555555556e-05,0.000111111111111111,0.4265,0.181777777777778,0.242777777777778,0.0105,0,0.0311666666666667,0.0185,0.00572222222222222,0.0135,0.0178888888888889,0.00166666666666667,0.0025,0.000111111111111111,0.00111111111111111,0.00116666666666667,0.00861111111111111,0,0,0.00861111111111111,0.000277777777777778,0,0,0.00244444444444444,5.55555555555556e-05,0.000166666666666667,0.0201111111111111,0.00138888888888889,0.000222222222222222,0.000722222222222222,5.55555555555556e-05,0,0.000833333333333333,0
20,0,0.00105555555555556,0,0,0,0,0.412333333333333,0.166277777777778,0.241277777777778,0.0135555555555556,0,0.0395,0.0203333333333333,0.00522222222222222,0.0185,0.0206111111111111,0.00333333333333333,0.00233333333333333,0.000111111111111111,0.00111111111111111,0.00122222222222222,0.0116111111111111,0,0,0.00844444444444445,0.000722222222222222,0.000111111111111111,0,0.00272222222222222,0.000111111111111111,0.000333333333333333,0.0245555555555556,0.00183333333333333,0.000166666666666667,0.000722222222222222,0.000111111111111111,0,0.000777777777777778,0
21,0,5.55555555555556e-05,0,0,0,0,0.654444444444444,0.104944444444444,0.137222222222222,0.00261111111111111,0,0.0254444444444444,0.0169444444444444,0.00205555555555556,0.00488888888888889,0.0184444444444444,0.00222222222222222,0.00105555555555556,0.000388888888888889,0.000555555555555556,0.000944444444444444,0.00516666666666667,0.000444444444444444,0,0.0095,0.000277777777777778,0,0,0.003,0,0.000111111111111111,0.00538888888888889,0.00122222222222222,0.000111111111111111,0.000722222222222222,0.000111111111111111,5.55555555555556e-05,0.00116666666666667,0
22,0,0.000388888888888889,0.000166666666666667,0,5.55555555555556e-05,5e-04,0.538944444444444,0.0677777777777778,0.155888888888889,0.005,0,0.0717777777777778,0.0479444444444444,0.00355555555555556,0.00866666666666667,0.0417222222222222,0.00194444444444444,0.000555555555555556,0.000444444444444444,0.00111111111111111,0.00138888888888889,0.0122222222222222,0,0,0.0247777777777778,0.000166666666666667,0,0,0.00544444444444444,0,5e-04,0.00272222222222222,0.00238888888888889,0.000166666666666667,0.001,0,0,0.00216666666666667,0
