"t","x_1","x_2","x_3","x_4","x_5"
25,0.01865929532755,0.537986608324106,0.456213484016218,0.134974438399742,0.0213579534024428
26,0.00890070466601412,0.44113051209905,0.786258715286467,0.724675931693558,0.0518666241455893
27,0.0070747943477685,0.357860460471462,0.35325090332354,0.0687963263030574,0.419304742027006
28,0.00852685091656761,0.292351616244852,0.305766866370762,0.0439231105328053,0.076603721379063
29,0.0141479363460837,0.243402925921898,0.503847418243964,0.19799611340704,0.0225766212466329
30,0.0294429623263383,0.211537495594385,0.796077669347777,0.82071562157075,0.148239607956422
31,0.0686621463900925,0.204096185704855,0.309207570637367,0.0494484293399771,0.286669468801452
32,0.146530249929245,0.248717282000062,0.345963413616961,0.0683380245663271,0.0557891953393799
33,0.18283616236086,0.399364958856381,0.580965343819629,0.329767806995934,0.0276120342699374
34,0.0884480051551188,0.543821048816161,0.648174207345831,0.481248913437917,0.432183594066463
35,0.0309228285362274,0.523754196735031,0.297554276444023,0.0468407119146275,0.170292647844677
36,0.0150514387001344,0.444730265065113,0.410693418434003,0.122453633645882,0.0400102384797686
37,0.0114780758781838,0.367902744573677,0.678118274470558,0.568833231477185,0.0576265074759486
38,0.0129521698520706,0.305419805595367,0.406207432940088,0.127105997627096,0.414151926875552
39,0.0198270522661909,0.258997796137087,0.324729058593585,0.0643748608548437,0.0938974685406891
40,0.0374271385873452,0.230879000720472,0.506613503009342,0.246351536584533,0.0354802815858419
41,0.0769396072164071,0.230088428718811,0.683998374357457,0.630500787287592,0.256142754969049
42,0.138594185095019,0.282313463609372,0.319157770372958,0.0650223134780188,0.22096410374106
43,0.148587763532257,0.411369575909353,0.392037448108275,0.11969767614226,0.0546695049937338
44,0.0780877959164328,0.508517098848173,0.624950786656275,0.496480306992985,0.0626126776095743
45,0.0338446666502476,0.488098795304584,0.433551762451744,0.171479641614552,0.397030311290103
46,0.0193791773635693,0.422213074526194,0.333338009977737,0.0775134714976763,0.106262898286105
47,0.0162332309532746,0.35621988205761,0.499610729738273,0.262741142208083,0.0451967249982533
48,0.0190702726465266,0.302309667547648,0.626858398726299,0.536320252520189,0.274639133785787
49,0.0290170985293056,0.264120502131539,0.329344787506401,0.0786443482671154,0.203793353049872
50,0.0517280698974788,0.246403485518789,0.409247924556393,0.150259421675502,0.0591357177331972
51,0.0934048286558896,0.261416079020974,0.617873690443531,0.528907354362817,0.0964523272795789
52,0.133802975398953,0.330855920336147,0.394702914591779,0.141383393392557,0.330404689435676
53,0.113051358713233,0.437687706711865,0.355859347241923,0.103024457553459,0.0943794073449261
54,0.0602963509093215,0.481729347372747,0.529059014061787,0.342087932259001,0.0596767198313286
55,0.0320393824757654,0.448727980453242,0.525681073867017,0.345182529846836,0.342296200345656
56,0.0224179197012204,0.391222858821471,0.337180496273806,0.0913153908696424,0.154668133530453
57,0.021630668531885,0.336579030337949,0.451109471004764,0.218821847390651,0.0605388050949113
58,0.0274698366393453,0.293902498994387,0.598013309357121,0.521806560384334,0.190501913636456
59,0.0423260123174848,0.268043283022685,0.355422704872004,0.111036092650074,0.237414636882158
60,0.0706005331833339,0.266566697532469,0.39571687903771,0.152580997017793,0.0776903550981647
61,0.107159903806251,0.303119108064,0.567932312290487,0.458189057140108,0.101939027736527
62,0.11660904319794,0.381614151353766,0.414017828964984,0.181156352162346,0.310881141498106
63,0.081342745475129,0.448893342735224,0.362503142714968,0.121147161663701,0.108735321161182
64,0.046696510463284,0.450844626741854,0.509425309090009,0.338827185722544,0.0757106270688823
65,0.0305124400750412,0.410397109421963,0.495897448885458,0.319343372620851,0.30567508541213
66,0.0259531500160331,0.360926530147421,0.350529275782536,0.112959306038486,0.153467588295382
67,0.028723304264983,0.317955807934053,0.455376051257716,0.247983259377074,0.0736793833449935
68,0.0390225715006884,0.288399162874189,0.548134997238716,0.44064100624946,0.219452957903523
69,0.0593316351261057,0.27844423785108,0.359870978920289,0.125720316078297,0.207944668837763
70,0.0882094703782039,0.297269254142737,0.41328993459844,0.189934299782939,0.0838347729829185
71,0.10660185444815,0.351073926300849,0.547131480994564,0.446916880665896,0.143649252876125
72,0.0905679344129118,0.414929922174887,0.390176731007047,0.164225478539199,0.258864900221888
73,0.0593447922566366,0.438637777488162,0.384193498277711,0.156232420275355,0.102940813684181
74,0.0391679803354273,0.416902466719532,0.517109598058416,0.384373893950383,0.105885245719877
75,0.031188909376071,0.376378420450634,0.435965175264419,0.23391938806341,0.282321517847133
