"t","x_1","x_2","x_3","x_4"
1,0.3,0.32,0.2,0.45
2,0.000253209669150464,0.312120526196985,0.0309805446284864,0.0705622959179738
3,2.92130033771061e-05,0.104754577231861,0.0467319279323267,0.00720307295763676
4,2.14060877512956e-05,0.0373263900944758,0.088185354822165,0.00131584641770247
5,2.93254059161832e-05,0.013579408728258,0.165498695051689,0.000768804730878135
6,5.02346152536233e-05,0.00497944858887549,0.2934968850673,0.00346268358231317
7,9.33312755489141e-05,0.00183288714168788,0.321846099631101,0.180634568654767
8,0.000178638845713421,0.000676563217396488,0.0534907059536843,0.126207504467476
9,0.00034567856302865,0.000250758259060427,0.0610354628912055,0.0175191468191717
10,0.000671627633458424,9.3646374792175e-05,0.108012494679656,0.00445123523370119
11,0.00130656086940732,3.54634565823757e-05,0.194586572617238,0.0042371127667844
12,0.00254198478624374,1.3796791350931e-05,0.306965668157697,0.0330594464169437
13,0.00494155855379353,5.65623053700985e-06,0.127917063304461,0.226459940171837
14,0.00959083052724526,2.56812499159851e-06,0.067157249328161,0.0532457465099066
15,0.0185550987470574,1.42045440753353e-06,0.0992052580777883,0.0128917987886087
16,0.0356753346620232,1.1473595939983e-06,0.170016139643828,0.00885699093864916
17,0.0677746897508852,1.8972958323074e-06,0.261521923143121,0.0338670786319067
18,0.125933140833827,1.17472467290342e-05,0.158902152020487,0.182443575038426
19,0.224657972441824,0.000740686447003518,0.0818469367246189,0.0684442144490608
20,0.110163221786481,0.400146106878409,0.107596728598564,0.0205249163668677
21,0.000979268892937396,0.216040255835058,0.17203607020525,0.0157513165237421
22,0.000259388602941304,0.0754000940459401,0.238175938350544,0.0512727991364486
23,0.000248699794672653,0.0272878110705678,0.145391336418161,0.147887278392935
24,0.000374008948304182,0.0100439473514286,0.0949645988313352,0.0622672863511548
25,0.00066194319492231,0.00374005288832757,0.122918592918496,0.0249747095642156
26,0.00124361994354234,0.00141339373473294,0.182760447723184,0.0253594636620392
27,0.00238746793340384,0.000547874488834112,0.213382421901281,0.0768660149674279
28,0.00461750422480756,0.000223037823543344,0.129194175681748,0.11672072370316
29,0.00894463786376385,9.98592258314643e-05,0.107677548398731,0.0519428929661018
30,0.0172955502394392,5.37329276206013e-05,0.140822191547676,0.0287854582098581
31,0.0332611605319073,4.11475176674348e-05,0.191195375010582,0.0394534312415907
32,0.0632475978703859,6.14903829152949e-05,0.182449474550584,0.0962410380664242
33,0.117658115675848,0.000316070203064818,0.121836815992715,0.0889912003081542
34,0.202441966583354,0.0136603653183099,0.121668606313039,0.0448135629675207
35,0.025925174110394,0.33229550740777,0.157716361455844,0.0345875550653917
36,0.00165485992181289,0.134638195464849,0.189441123379287,0.0577454108657898
37,0.000905234562163993,0.0491082628163384,0.155820637346693,0.0972245787436427
38,0.00110436705357804,0.0183135041776389,0.122904983693434,0.0690358377425055
39,0.00180299207813558,0.00698932299304872,0.13639793366791,0.0422314863721981
40,0.0032773854431541,0.0027628062376826,0.169488710680956,0.0437438532016974
41,0.00619660145669726,0.00116517439004741,0.176752114598519,0.0739902214934211
42,0.0118724860075649,0.000556778090687164,0.140602325901347,0.085532688477659
43,0.0227888701303397,0.000338504995832026,0.129521212489002,0.0571700679298158
44,0.0434847631732663,0.000325865036235734,0.14983429733361,0.0439308602638763
45,0.0816168217402281,0.000740991754113402,0.172848448682807,0.0554201233103837
46,0.144691267277644,0.00769123527457198,0.160804245088812,0.0804813978348271
47,0.0850534181029211,0.220372070901013,0.135649044305342,0.0722925999842987
48,0.00549600488116991,0.161746749108119,0.138660026714553,0.0517283429433111
49,0.00223057910018374,0.0621854514455835,0.1593817549122,0.0490835180782266
50,0.00238219937063189,0.0239629821855191,0.16819969904228,0.0659845777092418
51,0.00366650886959748,0.00955401005380668,0.149055336581808,0.0775271368878569
52,0.00647569625325839,0.00406115794495375,0.137237353582558,0.0626723423799596
53,0.0120369097648468,0.00195252583446469,0.147701334951346,0.0510003185171458
54,0.0227391296863141,0.00118929091884846,0.163273887892535,0.0562080497835628
55,0.0428859095409152,0.00113496898350286,0.159748331818837,0.0715063067416462
56,0.0792114932315322,0.00248076256331786,0.143543621415117,0.0707158735868933
57,0.130308388007989,0.021286629895298,0.142099285622857,0.0574275236948506
58,0.0525490666486361,0.202598946097882,0.154477110673658,0.053473593581166
59,0.0069862666842051,0.125774563429876,0.161928704351013,0.0628340386391493
60,0.00388804842429739,0.0512988919595077,0.15226511228378,0.0715063943632264
61,0.00455284146627722,0.0209675994794729,0.142900570972566,0.0644997061624916
62,0.00715867958180952,0.00908933127094316,0.147656152760963,0.0557838141465045
63,0.0126114691527069,0.00444628293634668,0.157790161587349,0.0575897792123222
64,0.023137987494757,0.00274697859596428,0.157648631746327,0.0668099685549988
65,0.0426975339504816,0.00263353996868169,0.147916013613343,0.0683464498050606
66,0.0765457088667132,0.00556294947605717,0.14514277669814,0.0604991358539656
67,0.112816657856991,0.0375053589083392,0.152168858399991,0.0566915556453596
68,0.0412161373750503,0.171643058226154,0.157796688606744,0.0616605170966433
69,0.00892814960871357,0.104871637680168,0.153197638404882,0.0676472958380309
70,0.00592829726630719,0.0456687596759598,0.146621598593355,0.0647157532550174
71,0.00723467280881564,0.0200279870927838,0.148328312938025,0.0587942647305414
72,0.011371290517166,0.0096036653601616,0.15469735732678,0.0589192917728415
73,0.0197338116960929,0.00554348360147756,0.155752121934554,0.0643731804085457
74,0.0352911050375578,0.00454259356107942,0.150166440292717,0.0663392739749363
75,0.0620103427293515,0.00695783763586311,0.147439313580208,0.0619900140607949
76,0.0944683822214892,0.0272958128776373,0.151200760430265,0.0589016155840435
