"Time","Phocaeicola_A_858004","Anaerostipes","Faecalibacterium","Coprococcus_A_121497","Mediterraneibacter_A_155507","Butyrivibrio_A_180067","Bacteroides_H","other","Phascolarctobacterium_A","Paramuribaculum","Ruminococcus_E"
108,11477,12,656,152,0,0,2698,2505,183,181,136
109,8068,108,1900,613,22,0,2234,3613,431,481,530
110,7663,36,1410,594,3,0,2351,4070,662,667,544
111,8245,24,1132,523,2,0,2291,3574,638,628,538
112,9637,16,892,394,2,0,2174,2935,580,535,526
113,11298,11,699,249,2,0,2009,2237,497,424,511
114,12690,8,572,131,2,0,1802,1666,403,331,499
115,13274,8,528,83,2,0,1565,1444,309,293,494
116,9856,30,1923,461,10,0,1153,2592,185,302,1488
117,11162,15,1119,184,1,0,1500,1917,266,501,1335
118,11989,2,500,23,3,0,1776,1438,311,609,1349
119,10320,2,211,10,2,0,1667,1022,309,450,4007
120,11908,9,819,163,1,0,2407,2077,244,274,98
121,9257,12,1218,199,10,0,2889,3530,282,338,265
122,6249,95,2396,942,59,0,1986,4935,182,387,769
123,6793,80,2071,1053,47,0,1695,4728,277,402,854
124,6666,81,2301,992,47,0,1621,4739,246,380,927
125,6492,77,2453,922,54,0,1699,4583,237,356,1127
126,7663,39,1700,574,31,0,1678,4295,462,429,1129
127,9103,13,898,295,3,0,1571,3959,603,500,1055
128,9042,22,1790,355,0,0,1510,3855,423,535,468
129,7504,28,2628,664,23,0,1401,4140,289,305,1018
130,6745,91,2735,859,58,0,1197,4804,131,335,1045
131,6536,22,2782,1393,38,0,1201,4618,300,387,723
132,6471,15,2793,1300,38,0,1254,4451,279,437,962
133,6425,17,2887,1153,37,0,1209,4103,258,542,1369
134,6362,20,2944,1042,22,0,1154,3699,236,630,1891
135,6344,26,2966,847,26,0,1166,3540,211,627,2247
136,6432,30,2972,763,30,0,1144,3422,205,669,2333
137,6173,139,2648,1028,48,0,1289,4486,257,517,1415
138,10643,5,1456,56,2,0,2013,2551,323,646,305
139,8283,19,1165,370,24,0,1892,4327,683,682,555
140,4729,219,1710,1035,179,0,1204,6965,420,405,1134
141,4469,373,1936,731,229,0,1285,6368,363,654,1592
142,7534,46,2840,770,59,0,1124,3994,421,416,796
143,8800,20,2045,596,22,0,1523,3676,466,445,407
144,8985,8,1080,179,10,0,2152,3355,686,838,707
145,9006,9,1346,217,15,0,2044,3260,654,793,656
146,9302,11,1824,315,5,0,1934,3025,464,568,552
147,9558,34,2217,353,9,0,1718,2969,333,390,419
148,6835,274,3027,467,28,0,1904,4183,388,243,651
149,5242,144,3215,901,69,0,939,5458,356,358,1318
150,6391,81,2546,1123,25,0,988,5287,343,340,876
151,6197,188,2845,533,60,0,649,5227,266,301,1734
152,7746,137,2468,182,384,0,597,5396,133,176,781
153,8529,61,2140,18,554,0,625,5891,43,68,71
154,5861,53,1473,45,399,0,451,9549,31,44,94
155,1313,45,398,88,37,0,382,15552,44,34,107
156,9748,0,1523,0,336,0,1159,5234,0,0,0
157,9179,3,1698,0,45,0,4153,2920,2,0,0
158,8273,44,2441,0,318,0,3927,2960,37,0,0
159,7291,194,1594,0,687,0,2129,5956,148,0,1
160,6598,271,3658,0,1069,0,2801,3191,412,0,0
161,5090,504,5527,0,927,0,2774,2843,335,0,0
162,5413,1106,3387,0,1444,0,2988,3012,650,0,0
163,5983,1595,2496,0,1286,0,3601,2627,412,0,0
164,7414,1300,1535,0,1399,0,3227,2538,587,0,0
