"Time","Phocaeicola_A_858004","Bacteroides_H","Faecalibacterium","Paramuribaculum","Lachnospira","Parabacteroides_B_862066","Phascolarctobacterium_A","Ruminococcus_E","Gemmiger_A_73129","Prevotella"
0,7.69044074284235,7.31207709444651,0.283220975512264,0.339741449560807,7.06447119562047,1.33444850006654,5.82473513120413,1.32377585844113,0.788359066704097,1.60218659948553
1,6.55387688869296,6.77337138742684,0.531192629157495,0.005,6.86398760957853,0.841811022224707,5.24951612677493,0.879300851251751,1.08288709972446,1.14755830083999
2,6.74789945739328,7.16553378010252,0.005,4.28259573501797,6.17977387918547,0.990058327301002,5.66032256411521,1.013054828473,1.5934622629388,0.710848905376785
3,7.69921975622327,7.79539459306156,3.76699764028363,1.4193712441909,8.20599917645742,1.53568417809731,8.79397707893356,1.50533782532869,4.45886438308024,1.10013429431779
4,4.35453152991331,4.47120922068443,3.52527798897482,2.04280901671643,4.23557640973761,0.005,4.32529576538439,0.119789086546839,3.62091771643493,6.49594795384914
5,5.30349563321163,3.73333086078484,4.615868233061,2.51630692783608,2.90824665703383,1.51528584961769,5.28603331358476,0.526649004622724,2.55050252302502,9.47143137221692
6,6.27716630090372,7.17110009215818,7.28930162118656,5.40880760551254,5.13955362870586,4.88471746650637,6.74672697168741,1.18877837855116,4.92151051202744,8.60666859980883
7,8.07524191841914,8.97247460362244,8.82864055215932,7.41421104344007,4.00269525567554,6.6741059416578,9.80947592731039,2.08772928064511,5.94590745319972,5.49284507535646
8,8.72115397996462,10,9.34610552483573,6.77259317780696,5.84840640302758,7.31516030386772,9.24093117178098,2.55928964014158,6.82771221838636,2.60141793738639
9,4.27580274574035,3.98307295863051,4.63621050932615,1.87452822487714,1.56010143688732,4.26430890662739,2.52362682911794,0.118999482609354,2.23703346976829,7.37761715451918
10,8.25956807881473,9.5340390428982,8.64686559759756,8.88903229544301,6.37009443333241,8.51054569849573,9.56478996874336,2.32942237134863,6.38705035839608,4.53437099782057
11,3.4824382250829,3.81939180675477,4.14076193422929,1.95875919095072,0.283112291411884,4.69298784614745,2.82304770230693,0.005,1.38227030368166,7.38258324028181
12,5.16683758520441,7.14821925395228,7.47820135321716,5.09993036503401,5.71144958231911,6.54425306501448,6.00676609971325,1.06979689858269,5.00146631590985,8.79243593737103
13,7.0982828477474,8.6358225895585,9.37735280105397,8.28307758857095,7.65150803927068,8.47956839466865,7.05406623079941,1.90352203446372,6.57044241117622,1.99622368683421
14,3.41639216577732,3.7141565876733,6.15576334468322,4.43502682164439,2.71598783835312,5.13660642192534,3.66091594939351,0.280762594597292,4.72590579878509,8.87804645591388
15,4.28601803054623,4.64512606126887,6.79596620632758,5.89153623242576,3.04858568041532,5.8433697580787,5.54402498541347,0.57914429234828,5.71910239495216,9.17305707963789
16,5.8984910759803,6.15093370840798,8.52780426342007,5.90479097345147,5.30525753730459,6.34785925038698,5.24504817283683,1.07009189460931,6.6065780802619,8.24409355560112
17,4.19760495773347,3.64162024407801,6.36615187872159,3.90275236655982,2.49962733011982,4.77884945993444,3.21728440035698,0.276379072512302,3.92052554048539,8.33964149856752
18,2.94152776449176,1.78390652372751,4.39992171884709,1.1262460595245,0.918526066652052,3.41710321560482,2.59931654305595,0.128660765948507,2.06329645316422,9.46161375088342
19,8.08063175024096,9.27932429817474,9.77033864449701,7.91007537697994,9.50381469390376,9.37287824685018,8.94600601126807,2.38862101216746,6.95835682899032,3.70749773131547
20,2.22276883087879,2.48966275362263,5.34031203112408,0.994052389776406,3.15976832145623,4.38144815444488,3.27472171934164,0.299845920918581,2.64209179136528,10
21,7.79592335860258,8.97256702515294,8.92231234944995,8.54176143530117,9.65264152448402,8.86614297364335,8.08742843784126,2.15304250026376,5.18686185242951,3.76171943791376
22,8.14182888968414,8.75631280159098,9.27016853987716,7.75874825775398,10,7.9199454774668,9.19776761697441,2.27469540430156,5.13939830075113,3.51920583300582
23,6.54067344787845,7.55127500447049,7.27666022914786,4.60217250927015,8.77458667854816,6.58186548834857,7.04133943357585,4.26487497426323,5.58007398602668,4.86248598327141
24,8.12261721221524,8.98318561899181,9.10046747657004,7.85263237367435,8.77150052990032,8.66107438263765,8.39939096363728,5.38270636461192,7.12143561832272,3.54095401631444
25,7.75357692949786,8.42778558421086,8.01282449584422,8.12101206681826,8.16794764088351,8.67052392459798,7.64304937557037,3.88405705772988,5.97795412562831,4.47628467772548
26,7.17380619725505,8.07952139028552,9.07347373608017,7.75180963890679,8.55524143506045,8.15777810957817,7.4518888282966,5.66643902698129,7.14710866656795,3.99373797655499
27,6.90027259824362,7.73752889323362,9.15650588121474,7.2956859879706,8.31737274457855,7.81149787717015,7.80149899621861,6.05586846391243,6.1927348651322,6.61362043278936
28,8.07660282635081,8.62438990148508,8.72796833603376,7.79396945287058,9.40248189765252,8.05165302405362,8.22133248878122,3.8958997252571,6.00529024184056,3.67076053708471
