Time,Lachnoclostridium,Hungatella,Fusobacterium,Escherichia/Shigella,Pyramidobacter,Ruminiclostridium_5,Faecalibacterium,Alistipes,Parabacteroides,Bacteroides
0.0,-2.5585489011463354,-2.928283523609916,-3.4287277000742504,-3.8266656449192977,-3.6425465914209747,-3.178486808982403,-1.4580607342587435,-1.4163907659533808,-3.439784583855663,0.196730443835885
1.0,-3.3062194084635124,-5.621773647188685,-5.643799845059198,-2.713440578428901,-5.895986024158621,-5.546877058175267,-1.6139915006902341,-3.4828136439860953,-3.936472492361031,-0.7964131422943047
2.0,-1.9462630948743829,-4.450820414338219,-5.330284215364437,-3.0120420548894273,-5.438128763177815,-5.322487065879456,-0.4208409978069605,-1.1409715436887329,-2.8195168412849005,0.563664114220207
3.0,-1.5608116606321782,-3.679248232384463,-5.344746216793497,-3.040158962472871,-5.344746216793497,-5.101129678588717,-1.0515595175999464,0.752526115616141,-2.6958365703414033,-0.322486342172575
6.0,-1.3337759902593975,-2.873560011900258,-5.415515268224419,-2.4803237106616205,-5.036383906807343,-2.6434877873285823,-2.141900110633146,0.340252025117433,-1.9906727761254943,0.054692066028191766
7.0,-0.9037742493018672,-2.2393056519224794,-3.741966618545601,-1.8321076273602188,-2.706842700729011,-0.956059405986043,-3.76964727000179,0.5855647898989631,-1.5875033671717873,0.4921753382810725
8.0,-0.5193519750763702,-1.4160908241891947,-3.712305651514569,-1.878542421997679,-1.5189115422825021,-0.741314022475795,-1.324862715194321,1.104234453771325,-1.811738512089756,0.9049420794650689
9.0,-0.8269667813963557,-1.4182933658628185,-3.2834964943593885,-1.087637511456549,-1.1506437072983995,-0.8158105133460518,-1.5160629338731764,1.0728245634973443,-1.8209854554115434,0.6767974213242913
10.0,-0.6449279676251796,-0.9516977409668566,-2.3156890410923014,-0.5340930066612204,-0.9361396606727657,-0.318817384787629,-1.0217966033828647,1.324195382644193,-1.9201012059497446,1.1712132771760093
11.0,-0.6197018840271062,-0.8056259786991036,-2.309804632545207,-0.18703346991903302,-1.251950612951819,-0.3080673359683703,-1.3029391992394719,0.9465972354325343,-1.709087108653193,0.8079643459028716
13.0,-1.4949746395124401,-2.0523241367805207,-1.7228843398398734,-0.8142440814013006,-1.671425797725422,0.0919859036381745,-2.7285614305966304,-0.07086647256059075,-1.692611024086965,0.31695276382506377
14.0,-0.7548879380157478,-1.0980564896068614,-1.0671528668515369,-0.4062242904194786,-2.4137875259797896,-0.9880771962253987,-2.09121734372916,-0.2735068222214565,-2.5871074985870326,0.770803835947844
15.0,-0.9464639022159502,-0.9518854231661942,-1.1147173588694164,-1.271523569129122,-1.958954487549539,-1.7978459050165159,-2.2012579930475686,0.28132117781129895,-2.5667997215964657,1.1388247504186797
16.0,-1.0194558041761952,-0.8732553141988406,-1.0085946193624982,-0.9080137347406767,-1.6149765984415159,-0.7463782601112157,-2.1246487654655217,0.6765497710264654,-2.110357717062021,1.2664528020961623
17.0,-0.6732346452817497,-0.810309918015474,-0.695184898428225,-1.091282602337556,-1.3253794897995723,-0.4438695001539821,-1.93736857045704,0.9516315597281888,-1.905274760588954,1.0647559901105417
18.0,-1.304866001359767,-1.773232516440662,-0.9670302652292353,-1.5324960451756127,-1.6686207847708157,-0.019128015102578333,-2.196003224944123,0.04081679108079728,-1.8162889943325262,0.5846299529603776
19.0,-0.7923610800099765,-1.5187233677259577,-0.5193376280454594,-1.478705761908715,-1.3654677525757282,-1.22797113472931,-1.8816868942780363,1.462717080783025,-1.774666310132496,1.144436305578246
19.8333333333333,-0.8691290770431994,-1.301328772343913,-0.45111396196954034,-0.9265076027286914,-1.2191094234149351,-1.030803331730508,-1.5206902566035922,1.2802410149005543,-1.7188512473239426,1.2575777360884093
19.875,-0.6764046699895951,-0.8290422264121657,-0.21943658572371616,-0.16708138991350596,-0.853061071364547,-0.8281766388526979,-1.159424351662897,1.644012431142382,-1.790968437548313,1.474273506478035
19.9166666666667,-0.8031388282398044,-1.3278109259475364,-0.5426776921641401,-1.789026473529205,-1.3268589622485676,-0.9627026967379435,-1.6726083509723777,1.362017588456236,-2.0077191108850334,1.2015269276520348
19.9583333333333,-0.49959237349058405,-1.235519134394608,-0.41367590067383864,-2.0454263424890153,-1.1850344792758292,-0.8223532803325639,-1.6332631319090862,1.4885494507469696,-1.906067745989668,1.4401954409461173
20.0,-0.711121329184504,-1.189703385823441,-0.3311090394611913,-1.7090358493666908,-1.1250657743007042,-0.783319548383675,-1.397164929127496,1.6080488364532126,-1.8366057711054085,1.4822332759596546
20.0416666666667,-0.6620445922228733,-1.0556000958692184,-0.35504517928177437,-1.7443274884631461,-0.8568426185178835,-0.8468941242856349,-1.661959064664425,1.5664885258998806,-1.8318721126045854,1.3155248665906347
20.0833333333333,-0.7868566158209869,-1.120190956695259,-0.3264663592354369,-1.7930704172424643,-1.1775810453245472,-0.6167229710199202,-1.4581756323679747,1.5150264628694454,-1.9782542835088175,1.3498820423207698
20.125,-0.7228237366019088,-0.9625391105233856,-0.4815740983124335,-2.02650506299004,-1.1563723347160222,-0.7573094773681115,-1.3633278729049958,1.513073163079301,-1.768268832020711,1.366126044386878
20.1666666666667,-0.7976502375154673,-1.0612738712258047,-0.4366838619482136,-1.9001694024599058,-1.070782838576978,-0.9675406055797757,-1.670252546332685,1.5106808581397226,-1.887797514865754,1.3504414002817438
