"Time","Phocaeicola_A_858004","Anaerostipes","Faecalibacterium","Coprococcus_A_121497","Mediterraneibacter_A_155507","Butyrivibrio_A_180067","Bacteroides_H","Phascolarctobacterium_A","Paramuribaculum","Ruminococcus_E"
0,6628,75,1564,239,85,1351,1696,397,557,0
1,7064,24,2024,466,58,961,2598,561,404,0
2,8911,10,1357,305,31,1303,2530,398,571,0
3,8043,50,1966,317,40,1599,1753,394,540,0
4,8978,5,530,127,22,2574,2075,461,591,16
5,6839,33,1461,484,104,1151,1967,487,622,57
6,10009,3,903,146,41,978,2200,445,488,49
7,8793,10,999,336,6,1967,2248,470,502,167
8,7434,23,2702,364,40,1387,2101,285,512,386
9,8601,13,1403,200,17,336,2426,364,714,1227
10,6756,107,3247,817,128,195,1489,210,350,538
11,6755,64,4111,433,58,36,1918,304,511,238
12,7863,115,3127,234,73,39,1536,431,545,118
13,7313,67,3259,461,58,1173,1388,258,411,340
14,10263,9,1220,165,13,406,1875,610,677,88
15,7837,60,2287,600,58,861,1469,520,491,107
16,8069,89,1823,601,32,895,2500,376,302,659
17,5417,69,3071,1544,104,192,1736,257,249,738
18,7290,39,3586,909,30,1486,1223,217,289,94
19,6338,89,3891,1192,62,742,1339,333,322,31
20,5670,131,3890,1410,95,79,1752,366,371,0
21,9131,65,2319,800,25,24,2649,305,332,1
22,7025,38,2628,280,70,126,2553,863,751,4
23,4902,447,1830,82,777,0,1599,439,841,0
24,6831,48,2894,814,119,4,3117,606,239,1
25,6049,35,2993,692,95,87,3490,286,197,324
26,7174,17,1750,379,46,762,3463,493,446,273
27,8713,6,518,147,12,1370,3201,701,696,193
28,8998,22,1869,385,17,1057,2302,429,415,124
29,8875,38,3222,624,24,708,1498,159,134,85
30,8731,31,3011,594,22,663,1917,270,275,84
31,6946,10,1173,260,38,252,3306,990,1469,78
32,3873,66,3303,1166,153,273,2566,544,544,114
33,5822,112,3986,1131,100,6,2018,151,297,0
34,8148,19,2698,860,34,6,2552,369,481,6
35,8196,15,2173,463,15,209,3726,337,420,175
36,6544,51,2663,890,63,95,2906,233,506,204
37,7526,13,1015,175,19,5,4702,639,1001,110
38,8616,13,777,86,5,2,4158,849,597,121
39,9129,5,887,138,4,245,3600,568,411,266
40,8866,7,1491,208,5,752,3160,406,707,109
41,6628,33,2928,609,48,835,2700,410,350,81
42,4350,208,3490,854,107,455,2155,292,395,367
43,3377,171,3336,1260,109,350,2906,349,442,331
44,6178,124,3416,788,140,101,2607,285,394,150
45,5523,136,3451,541,100,19,3868,512,512,23
46,5550,98,2549,299,144,1,3283,426,517,111
47,7522,5,2504,1201,78,4,2848,456,392,131
48,6403,8,1264,171,104,84,2968,967,1265,130
49,8024,3,1481,455,34,120,3698,513,424,311
50,6411,8,2521,905,34,44,3880,399,508,101
51,5523,27,2835,926,82,562,3391,384,388,220
