"Time","Phocaeicola_A_858004","Anaerostipes","Faecalibacterium","Coprococcus_A_121497","Mediterraneibacter_A_155507","Butyrivibrio_A_180067","Bacteroides_H","Phascolarctobacterium_A","Paramuribaculum","Ruminococcus_E","other"
0,0.368222222222222,0.00416666666666667,0.0868888888888889,0.0132777777777778,0.00472222222222222,0.0750555555555556,0.0942222222222222,0.0220555555555556,0.0309444444444444,0,0.300444444444444
1,0.392444444444444,0.00133333333333333,0.112444444444444,0.0258888888888889,0.00322222222222222,0.0533888888888889,0.144333333333333,0.0311666666666667,0.0224444444444444,0,0.213333333333333
2,0.495055555555556,0.000555555555555556,0.0753888888888889,0.0169444444444444,0.00172222222222222,0.0723888888888889,0.140555555555556,0.0221111111111111,0.0317222222222222,0,0.143555555555556
3,0.446833333333333,0.00277777777777778,0.109222222222222,0.0176111111111111,0.00222222222222222,0.0888333333333333,0.0973888888888889,0.0218888888888889,0.03,0,0.183222222222222
4,0.498777777777778,0.000277777777777778,0.0294444444444444,0.00705555555555556,0.00122222222222222,0.143,0.115277777777778,0.0256111111111111,0.0328333333333333,0.000888888888888889,0.145611111111111
5,0.379944444444444,0.00183333333333333,0.0811666666666667,0.0268888888888889,0.00577777777777778,0.0639444444444444,0.109277777777778,0.0270555555555556,0.0345555555555556,0.00316666666666667,0.266388888888889
6,0.556055555555556,0.000166666666666667,0.0501666666666667,0.00811111111111111,0.00227777777777778,0.0543333333333333,0.122222222222222,0.0247222222222222,0.0271111111111111,0.00272222222222222,0.152111111111111
7,0.4885,0.000555555555555556,0.0555,0.0186666666666667,0.000333333333333333,0.109277777777778,0.124888888888889,0.0261111111111111,0.0278888888888889,0.00927777777777778,0.139
8,0.413,0.00127777777777778,0.150111111111111,0.0202222222222222,0.00222222222222222,0.0770555555555556,0.116722222222222,0.0158333333333333,0.0284444444444444,0.0214444444444444,0.153666666666667
9,0.477833333333333,0.000722222222222222,0.0779444444444444,0.0111111111111111,0.000944444444444444,0.0186666666666667,0.134777777777778,0.0202222222222222,0.0396666666666667,0.0681666666666667,0.149944444444444
10,0.375333333333333,0.00594444444444444,0.180388888888889,0.0453888888888889,0.00711111111111111,0.0108333333333333,0.0827222222222222,0.0116666666666667,0.0194444444444444,0.0298888888888889,0.231277777777778
11,0.375277777777778,0.00355555555555556,0.228388888888889,0.0240555555555556,0.00322222222222222,0.002,0.106555555555556,0.0168888888888889,0.0283888888888889,0.0132222222222222,0.198444444444444
12,0.436833333333333,0.00638888888888889,0.173722222222222,0.013,0.00405555555555556,0.00216666666666667,0.0853333333333333,0.0239444444444444,0.0302777777777778,0.00655555555555556,0.217722222222222
13,0.406277777777778,0.00372222222222222,0.181055555555556,0.0256111111111111,0.00322222222222222,0.0651666666666667,0.0771111111111111,0.0143333333333333,0.0228333333333333,0.0188888888888889,0.181777777777778
14,0.570166666666667,5e-04,0.0677777777777778,0.00916666666666667,0.000722222222222222,0.0225555555555556,0.104166666666667,0.0338888888888889,0.0376111111111111,0.00488888888888889,0.148555555555556
15,0.435388888888889,0.00333333333333333,0.127055555555556,0.0333333333333333,0.00322222222222222,0.0478333333333333,0.0816111111111111,0.0288888888888889,0.0272777777777778,0.00594444444444444,0.206111111111111
16,0.448277777777778,0.00494444444444444,0.101277777777778,0.0333888888888889,0.00177777777777778,0.0497222222222222,0.138888888888889,0.0208888888888889,0.0167777777777778,0.0366111111111111,0.147444444444444
