"Time","Phocaeicola_A_858004","Bacteroides_H","Faecalibacterium","Paramuribaculum","Lachnospira","Parabacteroides_B_862066","Phascolarctobacterium_A","Ruminococcus_E","Gemmiger_A_73129","Prevotella"
52,6390,5629,569,516,221,434,291,61,135,10
53,1591,1648,637,128,38,112,180,154,354,2047
54,1862,3368,796,231,91,267,274,202,350,1504
55,2530,6467,1169,388,190,571,433,243,321,528
56,3240,7943,1408,464,263,734,464,257,278,5
57,6092,6111,1832,194,631,870,369,19,1,0
58,5292,6469,1836,243,718,802,323,36,10,16
59,5443,6512,1268,195,949,618,519,57,40,19
60,5060,4902,2754,445,759,690,318,143,94,0
61,5433,5459,2516,344,441,580,422,121,119,0
62,5397,6091,1853,372,407,727,398,181,103,10
63,5154,5587,2344,489,538,830,296,166,94,5
64,4484,5107,3037,615,664,933,163,152,101,1
65,3429,5976,1874,582,334,975,260,107,130,0
66,3865,5984,1229,833,264,994,191,63,215,15
67,3082,5917,1637,1041,424,855,287,167,367,14
68,2803,6052,1051,1004,501,701,254,218,377,7
69,2682,5585,1046,836,279,621,272,81,262,32
70,4236,5752,1098,811,705,923,161,62,340,10
71,4010,5559,857,730,677,899,272,75,251,0
72,489,991,123,270,155,282,205,199,441,3575
73,5050,5907,726,700,626,994,340,85,329,0
74,5475,5695,711,680,571,949,327,70,285,0
75,5852,5619,625,679,488,826,275,74,251,0
76,6112,5512,609,651,425,811,251,66,215,0
77,6385,5451,578,647,354,695,231,68,226,0
78,6633,5386,577,621,320,579,207,66,200,0
79,6772,5284,555,612,273,532,191,65,199,0
80,4019,4863,918,450,263,393,258,288,552,735
81,5111,6756,983,704,342,503,289,241,284,0
82,4638,7024,1295,377,247,377,338,185,392,2
83,4795,7842,832,416,201,367,386,67,347,1
84,2097,4153,237,606,86,305,385,115,360,3376
85,3380,5015,709,474,140,481,365,92,478,1816
86,4985,6068,1168,301,235,605,344,59,620,32
87,5803,6996,394,228,350,480,398,31,264,52
88,6001,6274,335,412,380,455,288,75,433,2
89,5980,6081,387,345,444,521,339,78,290,0
90,4891,7167,806,435,552,467,301,46,274,0
91,5406,6122,837,599,555,413,314,50,324,0
92,6050,5653,1061,779,440,538,308,26,221,0
93,6033,5559,1410,649,283,549,300,60,173,9
94,4608,4508,1387,515,162,600,246,119,365,386
95,3093,3486,1229,443,115,594,202,168,617,763
96,4487,5460,1658,537,314,607,204,123,505,0
97,3271,4136,1217,426,182,482,307,181,915,195
98,5118,5073,1005,406,761,368,207,101,363,37
99,5781,5394,797,479,452,324,463,28,230,5
