"Time","Phocaeicola_A_858004","Bacteroides_H","Faecalibacterium","Paramuribaculum","Lachnospira","other","Parabacteroides_B_862066","Phascolarctobacterium_A","Ruminococcus_E","Gemmiger_A_73129","Prevotella"
0,0.448111111111111,0.277055555555556,0.000222222222222222,0.000111111111111111,0.0212222222222222,0.241444444444444,0,0.0106666666666667,0,0.000666666666666667,5e-04
1,0.346166666666667,0.289666666666667,0.000888888888888889,0.000277777777777778,0.0256666666666667,0.323722222222222,0,0.0115555555555556,0,0.0015,0.000555555555555556
2,0.348222222222222,0.317833333333333,0.000277777777777778,0.00716666666666667,0.0157777777777778,0.296388888888889,0,0.0124444444444444,0,0.00177777777777778,0.000111111111111111
3,0.399277777777778,0.307222222222222,0.00683333333333333,0.000611111111111111,0.0358888888888889,0.214166666666667,0,0.0310555555555556,0,0.00494444444444444,0
4,0.196444444444444,0.165055555555556,0.016,0.00433333333333333,0.00938888888888889,0.534,0,0.0135555555555556,0,0.00977777777777778,0.0514444444444444
5,0.238111111111111,0.0895,0.0231111111111111,0.00405555555555556,0.00283333333333333,0.408444444444444,0.000888888888888889,0.0150555555555556,0,0.0045,0.2135
6,0.246777777777778,0.283777777777778,0.0697777777777778,0.0111111111111111,0.00744444444444444,0.263944444444444,0.00805555555555556,0.0171111111111111,0,0.00772222222222222,0.0842777777777778
7,0.326388888888889,0.360222222222222,0.0926111111111111,0.0156111111111111,0.0015,0.145722222222222,0.0135,0.0311666666666667,0,0.00611111111111111,0.00716666666666667
8,0.327166666666667,0.424055555555556,0.091,0.00811111111111111,0.00405555555555556,0.106611111111111,0.0145555555555556,0.018,0,0.00627777777777778,0.000166666666666667
9,0.189166666666667,0.131722222222222,0.0308888888888889,0.00394444444444444,0.00138888888888889,0.534277777777778,0.0116666666666667,0.00633333333333333,0,0.00538888888888889,0.0852222222222222
10,0.304333333333333,0.398,0.0710555555555556,0.0266111111111111,0.00683333333333333,0.124166666666667,0.0357777777777778,0.024,0,0.00616666666666667,0.00305555555555556
11,0.139111111111111,0.132111111111111,0.0250555555555556,0.00455555555555556,0.000277777777777778,0.577833333333333,0.0166666666666667,0.00788888888888889,0,0.004,0.0925
12,0.155611111111111,0.303722222222222,0.0841666666666667,0.0103888888888889,0.0115,0.2855,0.0252222222222222,0.0137777777777778,0,0.00872222222222222,0.101388888888889
13,0.229388888888889,0.348222222222222,0.143111111111111,0.0267777777777778,0.0199444444444444,0.164611111111111,0.0467777777777778,0.0117222222222222,0,0.00916666666666667,0.000277777777777778
14,0.111833333333333,0.104444444444444,0.0667222222222222,0.0131666666666667,0.00305555555555556,0.480277777777778,0.0181111111111111,0.00916666666666667,0,0.0137222222222222,0.1795
15,0.140222222222222,0.132,0.0789444444444444,0.0215,0.003,0.394555555555556,0.0228888888888889,0.0161111111111111,0,0.0166111111111111,0.174166666666667
16,0.222055555555556,0.191555555555556,0.153166666666667,0.0153888888888889,0.009,0.285444444444444,0.0223333333333333,0.0100555555555556,0,0.0168333333333333,0.0741666666666667
17,0.164111111111111,0.101277777777778,0.0755,0.0101666666666667,0.00261111111111111,0.481666666666667,0.0145,0.00761111111111111,0,0.00988888888888889,0.132666666666667
18,0.0981111111111111,0.0469444444444444,0.0267222222222222,0.0025,0.000666666666666667,0.530888888888889,0.00661111111111111,0.0065,0,0.00494444444444444,0.276111111111111
19,0.268333333333333,0.340333333333333,0.129833333333333,0.0160555555555556,0.0410555555555556,0.119388888888889,0.058,0.018,0,0.00755555555555556,0.00144444444444444
