"Time","R","P","S"
0,0.341841491841492,0.327855477855478,0.33030303030303
1,0.342989840348331,0.32510885341074,0.331901306240929
2,0.345337768092671,0.320564284895057,0.334097947012272
3,0.344463971880492,0.319746017347922,0.335790010771586
4,0.343649946638207,0.318317137561085,0.338032915800708
5,0.34410635812427,0.316626800912277,0.339266840963453
6,0.341887971434948,0.314159785762107,0.343952242802946
7,0.341299928575353,0.310916982583375,0.347783088841272
8,0.339857456140351,0.313212719298246,0.346929824561404
9,0.337930279647567,0.31264707491928,0.349422645433153
10,0.335505239724168,0.312428734321551,0.352066025954281
11,0.333261327428849,0.310255440946158,0.356483231624993
12,0.332814763156483,0.308781717719006,0.35840351912451
13,0.330326643894108,0.308977369769428,0.360695986336465
14,0.328786176643663,0.311774461028192,0.359439362328144
15,0.327076464957992,0.312028076145911,0.360895458896097
16,0.32527437569588,0.315306717565347,0.359418906738773
17,0.322194066096505,0.318551367331855,0.35925456657164
18,0.319850423974298,0.321535787644178,0.358613788381524
19,0.319103129594623,0.321728628439403,0.359168241965974
20,0.314169997896066,0.328318956448559,0.357511045655376
21,0.311562549339508,0.332193042471449,0.356244408189043
22,0.309258870459794,0.335607810203653,0.355133319336553
23,0.307821346194171,0.33911721534913,0.3530614384567
24,0.307896241617716,0.342828923428809,0.349274834953475
25,0.305819167796433,0.345239336740015,0.348941495463552
26,0.305771336218133,0.345550284135342,0.348678379646525
27,0.305529570730693,0.347936804905935,0.346533624363372
28,0.305069793990971,0.350526698147476,0.344403507861554
29,0.303464011615847,0.354646338933831,0.341889649450322
30,0.304609322341474,0.354954114170166,0.34043656348836
31,0.302838304229125,0.35620460516149,0.340957090609385
32,0.303767580330562,0.357920131403347,0.338312288266092
33,0.302423495584309,0.358184432121586,0.339392072294106
34,0.301003344481605,0.358271160277849,0.340725495240545
35,0.299413218035825,0.358142886555487,0.342443895408688
36,0.299538698103537,0.358534085084572,0.341927216811891
37,0.301916607197472,0.356305433785299,0.341777959017229
38,0.301091168672242,0.357026310422191,0.341882520905568
39,0.302944017898002,0.354756699038999,0.342299283062999
40,0.306105903217634,0.354345072206739,0.339549024575627
41,0.308344263949147,0.350973665624054,0.340682070426798
42,0.309543065103114,0.352102709260008,0.338354225636878
43,0.312767996771427,0.34893810220451,0.338293901024063
44,0.313661476644902,0.348267202410849,0.338071320944249
45,0.314798025586783,0.344514959202176,0.340687015211041
46,0.318296117481392,0.342536712935023,0.339167169583585
47,0.321809045226131,0.341557788944724,0.336633165829146
48,0.32637324119974,0.340093135045816,0.333533623754444
49,0.327823691460055,0.340896568995743,0.331279739544202
50,0.331809045226131,0.337638190954774,0.330552763819095
51,0.335532893421316,0.336732653469306,0.327734453109378
52,0.337883618971702,0.337036667995217,0.325079713033081
53,0.340269461077844,0.336776447105788,0.322954091816367
54,0.34338099745902,0.334163718798266,0.322455283742713
55,0.344073761959054,0.335250086749616,0.32067615129133
56,0.347221534959671,0.334949774852788,0.31782869018754
57,0.349736815969808,0.335683781904856,0.314579402125335
58,0.34874053545801,0.336813975355075,0.314445489186915
59,0.347765778262162,0.337412067769741,0.314822153968097
60,0.347851851851852,0.339358024691358,0.31279012345679
61,0.34823238566131,0.340815822002472,0.310951792336218
62,0.350125448910316,0.339991144782801,0.309883406306882
63,0.349078908481923,0.341000886612156,0.309920204905921
64,0.348971152899478,0.340110268780152,0.31091857832037
65,0.348226600985222,0.34064039408867,0.311133004926108
66,0.347625362212072,0.341584401551987,0.310790236235941
67,0.348083896893071,0.341076154072332,0.310839949034598
68,0.347560975609756,0.339348937844217,0.313090086546027
69,0.34589158695119,0.339072847682119,0.315035565366691
70,0.343254260596238,0.339472520996022,0.31727321840774
71,0.342257810964826,0.339899783847514,0.31784240518766
72,0.341017449004669,0.337576800196609,0.321405750798722
73,0.34303442162801,0.332988624612203,0.323976953759787
74,0.341823914864266,0.331576094989407,0.326599990146327
75,0.341586111659104,0.330538567764845,0.327875320576051
76,0.342689423835833,0.328186661404893,0.329123914759274
77,0.341294907224635,0.32757599684169,0.331129095933676
78,0.341083743842365,0.326502463054187,0.332413793103448
79,0.340697103583702,0.324300441826215,0.335002454590083
80,0.342000295464618,0.323533756832619,0.334465947702763
81,0.343706981317601,0.321927236971485,0.334365781710914
82,0.341431030243423,0.32003934103762,0.338529628718957
83,0.341462215448154,0.319091400757166,0.33944638379468
84,0.342346763507877,0.317269470481425,0.340383766010698
85,0.34302496328928,0.313852178169359,0.343122858541361
86,0.345905488699736,0.311809020643773,0.342285490656492
87,0.345331450002435,0.308119429155911,0.346549120841654
88,0.345777561450475,0.306449257726941,0.347773180822585
89,0.344453670688224,0.305524349142773,0.350021980169003
90,0.345319885007065,0.303123325049944,0.351556789942991
91,0.34621922199019,0.301102423388859,0.352678354620951
92,0.348075706709483,0.29810733226293,0.353816961027587
93,0.348506193830459,0.297643915472431,0.35384989069711
94,0.350094922844765,0.295283064790926,0.354622012364309
95,0.349498570805678,0.296739499055278,0.353761930139044
96,0.350994338800987,0.293898485508298,0.355107175690715
97,0.353017928768182,0.2930942830909,0.353887788140917
98,0.354348139948987,0.292795610953366,0.352856249097647
99,0.354505240888547,0.293874411001058,0.351620348110395
100,0.353431254514809,0.294919335420178,0.351649410065013
101,0.351576413959085,0.296847172081829,0.351576413959085
102,0.350511994615643,0.297822220085573,0.351665785298784
103,0.349644299173236,0.298259950009614,0.352095750817151
104,0.348698455468412,0.300485974113458,0.35081557041813
105,0.349041648652544,0.302445116971706,0.348513234375751
106,0.347312859884837,0.305278310940499,0.347408829174664
107,0.344900509468423,0.308660963183697,0.34643852734788
108,0.343925502808045,0.309604953679259,0.346469543512696
109,0.343320188515918,0.311916899105511,0.344762912378571
110,0.341025146931304,0.314722034878119,0.344252818190577
111,0.339161007561528,0.317102538168858,0.343736454269614
112,0.336363636363636,0.321067821067821,0.342568542568543
113,0.333317277587785,0.325080680121381,0.341602042290834
114,0.329651779685541,0.330375229092312,0.339972991222147
115,0.327241163138352,0.332545691276462,0.340213145585186
116,0.324690942325268,0.335032950117851,0.340276107556881
117,0.320672058540343,0.340554592720971,0.338773348738687
118,0.318214681640719,0.344965537186099,0.336819781173182
119,0.315370896997156,0.349303513761026,0.335325589241818
120,0.312376642757425,0.352765609204256,0.334857748038319
121,0.310947917673205,0.35554159822205,0.333510484104744
122,0.308484907120743,0.358455882352941,0.333059210526316
123,0.307495040402574,0.360332897856486,0.33217206174094
124,0.304071308118526,0.364297759576006,0.331630932305469
125,0.301627817376228,0.367414756308996,0.330957426314776
126,0.299063163994591,0.370822870388256,0.330113965617153
127,0.296689508734678,0.374819032911881,0.328491458353441
128,0.293412015091419,0.377720808745284,0.328867176163297
129,0.291278086494322,0.38134815172747,0.327373761778207
130,0.289515545914678,0.383947939262473,0.326536514822849
131,0.288507023217647,0.385914949075638,0.325578027706714
132,0.287280069224113,0.38645322565138,0.326266705124507
133,0.284683124007507,0.389153553726962,0.326163322265531
134,0.284455359722624,0.390397765578349,0.325146874699027
135,0.283187120408753,0.393136026221922,0.323676853369324
136,0.2821216938864,0.394083923495688,0.323794382617912
137,0.284520034592101,0.39266839627174,0.322811569136158
138,0.285139215028514,0.392198207696363,0.322662577275123
139,0.285084989226718,0.392769930572181,0.322145080201101
140,0.286509307234696,0.39186336595663,0.321627326808674
141,0.28676329429833,0.393021693223267,0.320215012478403
142,0.28838573214114,0.392750697048361,0.318863570810499
143,0.289770816316725,0.39273530966223,0.317493874021045
144,0.293495505023797,0.390942743137349,0.315561751838854
145,0.296483136350533,0.388632651100221,0.314884212549246
146,0.299069924340996,0.386583779094983,0.314346296564021
147,0.300356077374651,0.387065729958618,0.312578192666731
148,0.30003374957813,0.389904054770744,0.310062195651126
149,0.301987583618076,0.388709755041147,0.309302661340777
150,0.304063161948777,0.387685345657616,0.308251492393607
151,0.304934890202297,0.390370477151506,0.304694632646197
152,0.308748923135828,0.38987269072461,0.301378386139562
153,0.309933394029422,0.389429297043462,0.300637308927117
154,0.312178717271199,0.389430699015133,0.298390583713668
155,0.31431316042267,0.389529298751201,0.296157540826129
156,0.315450127508059,0.389693499494779,0.294856372997161
157,0.317542846139033,0.388648180242634,0.293808973618332
158,0.318792590459737,0.388233035799981,0.292974373740282
159,0.322551187157551,0.387051811977314,0.290397000865135
160,0.326026477359939,0.384976976208749,0.288996546431312
161,0.328968824940048,0.384892086330935,0.286139088729017
162,0.329956515506284,0.384813876809863,0.285229607683853
163,0.334499784286468,0.382388188485691,0.283112027227841
164,0.335713943344677,0.382830848871207,0.281455207784115
165,0.337678520080514,0.383878079171859,0.278443400747628
166,0.341722997267367,0.380842801668345,0.277434201064289
167,0.342999568614293,0.379475626707568,0.277524804678138
168,0.346137246439361,0.378266916031266,0.275595837529372
169,0.349844162071446,0.374634380244546,0.275521457684009
170,0.35278030993619,0.372930960034544,0.274288730029266
171,0.353921286986498,0.371014076414823,0.275064636598679
