"Time","sp-001","sp-002","sp-003","sp-004","sp-005","sp-006","sp-007","sp-008","sp-009","sp-010","sp-011","sp-013","sp-014","sp-015","sp-016","sp-019"
1963,5.5,33.1,2.8,2.8,13.5,22.1,13.8,2.8,8.3,16.6,22.1,16.6,63.5,2.8,19.3,0
1964,11.3,31.7,4.5,0,19.2,33.9,9,13.6,15.8,20.4,15.8,6.8,38.5,6.8,18.1,6.8
1965,2.3,24.9,2.3,2.3,19.9,22.6,9,15.8,6.8,28.7,23.9,47.5,36.2,13.6,9,15.8
1966,5.7,34.5,9.6,1.9,11.5,21.1,17.2,23,5.7,13.8,6.9,17.2,44.1,13.4,5.7,1.9
1967,23,28.7,3.8,0,14.2,36.4,7.7,9.6,9.6,20.8,20.8,24.9,32.6,38.3,1.9,19.2
1968,90,21.1,1.9,0,15.1,21.1,9.6,15.3,3.8,10.4,6.9,55.6,61.3,21.1,5.7,46
1969,7.7,19.2,1.9,0,13,40.2,9.6,19.2,3.8,17.3,3.5,44.1,49.8,7.7,5.7,23
1970,23,13.4,1.9,0,17.8,19.2,3.8,13.4,3.8,10.4,6.9,59.4,30.7,3.8,0,32.6
1971,86.2,17.2,1.9,3.8,14.8,26.8,5.7,3.8,5.7,34.6,3.5,24.9,51.7,15.3,9.5,28.7
1972,19.3,17.7,0,3.2,15.4,16.1,1.6,9.6,4.8,15.4,10.3,49.8,64.3,14.5,9.6,30.5
1973,23.8,26.2,2.4,15.5,0,0,0,7.1,2.4,9.5,47.6,11.9,12.4,0,141,0
1974,26.2,21.4,11.9,9.5,15.5,35.7,9.5,11.9,4.8,12.9,16.2,59.5,12.4,47.6,4.8,7.1
1975,28.6,26.2,0,0,12.4,31,4.8,7.1,14.3,22.7,9.7,11.9,61.9,11.9,2.4,4.8
1976,9.5,19,0,2.4,10.7,33.3,9.5,4.8,11.9,12.9,12.9,7.1,38.1,23.8,2.4,7.1
1977,28.6,19,9.5,4.8,11.7,31,2.4,4.8,14.3,3.2,9.7,14.3,14.3,14.3,7.2,7.1
1978,2.4,14.3,4.8,2.4,8.6,35.7,0,14.3,9.5,9.7,19.4,19,28.6,23.8,12,47.6
1979,16.7,19,7.1,4.8,8.6,21.4,2.4,7.1,4.8,6.5,3.2,7.1,33.3,4.8,2.4,14.3
1980,50,19,2.4,2.4,7.4,14.3,4.8,14.3,2.4,3.2,9.7,28.6,78.6,2.4,12,21.4
1981,38.1,31,2.4,11.9,8.6,40.5,2.4,14.3,4.8,6.5,19.4,45.2,59.5,16.7,7.2,19
1982,11.9,21.4,7.1,2.4,12.6,31,2.4,9.5,7.1,6.5,16.2,16.7,52.4,19,4.8,14.3
1983,7.2,11.9,4.8,4.8,8.4,19.1,2.4,2.4,4.8,0,9.7,11.9,52.5,7.2,2.4,14.3
1984,4.8,11.9,2.4,0,7.6,19.1,4.8,2.4,7.2,12.9,3.2,14.3,97.9,7.2,19.2,11.9
1985,31,21.5,7.2,7.2,18.4,16.7,0,2.4,11.9,9.7,3.2,14.3,88.3,11.9,16.8,23.9
1986,14.3,21.5,4.8,7.2,14.6,14.3,9.5,2.4,2.4,12.9,3.2,7.2,78.8,7.2,9.6,9.5
1987,0,26.3,2.4,7.2,14.6,14.3,9.5,2.4,11.9,12.9,3.2,7.2,62.1,7.2,9.6,9.5
1988,14.3,31,7.2,11.9,24.3,28.6,4.8,4.8,11.9,12.9,9.7,31,76.4,19.1,12,47.7
1989,14.3,21.5,9.5,4.8,23.9,26.3,2.4,31,14.3,19.4,9.7,62.1,93.1,14.3,16.7,81.1
1990,4.8,28.6,2.4,7.1,17.9,23.8,4.8,16.7,11.9,16.2,6.5,26.2,42.9,9.5,7.2,28.6
1991,0,23.8,2.4,7.1,12.1,14.3,0,0,9.5,12.9,16.2,23.8,42.9,0,12,71.4
1992,23.8,9.5,0,7.1,16,14.3,2.4,11.9,4.8,6.5,12.9,14.3,61.9,4.8,4.8,16.7
1993,16.7,9.5,9.5,14.3,21.9,33.3,2.4,2.4,11.9,7.1,19,28.6,102,0,14.4,28.6
1994,21.4,14.3,0,7.1,21.4,42.9,0,9.5,14.3,7.1,11.9,26.2,95.2,7.1,7.2,14.3
1995,28.6,14.3,4.8,2.4,11.9,40.5,0,33.3,0,4.8,11.9,0,71.4,33.3,51.4,7.1
1996,23.8,19,0,9.5,15.7,35.7,2.4,7.1,9.5,4.8,9.5,31,64.3,14.3,16.8,38.1
1997,26.2,26.2,0,14.3,16.4,28.6,4.8,7.1,9.5,9.5,11.9,45.2,66.7,35.7,4.8,88.1
1998,50,14.3,2.4,7.1,15.7,28.6,2.4,0,9.5,4.8,7.1,35.7,76.2,14.3,12,57.1
1999,61.9,21.4,4.8,4.8,14,19,0,4.8,11.9,4.8,14.3,45.2,83.3,4.8,14.4,14.3
