"Time","sp-001","sp-003","sp-004","sp-005","sp-006","sp-007","sp-008","sp-009","sp-011","sp-012","sp-013","sp-017","sp-018","sp-019","sp-023","sp-026"
1953,6,1,2,23,11,9,16,6,1,7,5,17,3,9,0,0
1954,2,3,2,22,7,6,14,5,2,7,7,19,3,13,0,0
1955,0,4,3,20,12,4,16,7,1,5,6,14,4,7,0,0
1956,3,1,4,20,10,3,18,7,0,7,10,10,3,17,0,0
1957,8,3,7,23,12,4,19,8,0,9,7,14,3,14,1,0
1958,9,3,7,23,10,6,14,6,1,7,6,12,1,15,1,0
1959,8,2,8,17,11,4,13,3,0,7,7,12,0,16,2,0
1960,11,4,10,18,14,5,14,6,0,7,9,13,2,14,2,0
1961,9,5,11,13,22,5,16,7,2,8,10,17,1,13,1,0
1962,8,3,9,13,18,4,12,3,2,9,7,17,4,10,1,1
1963,5,3,6,17,12,2,13,7,0,6,6,18,3,10,2,0
1964,8,2,6,15,18,2,9,6,1,8,8,22,1,13,2,0
1965,7,4,12,13,27,4,15,5,1,9,5,17,5,13,2,0
1966,3,5,7,7,14,3,11,0,3,10,3,17,3,11,1,6
1967,4,3,10,13,16,3,13,2,6,12,2,21,3,11,1,5
1968,5,4,10,14,19,2,13,5,7,16,3,20,5,11,3,8
1969,7,5,12,14,14,3,17,3,7,15,6,27,4,11,5,8
1970,1,3,10,14,10,4,14,6,8,11,5,20,2,9,6,4
1971,1,5,12,11,9,2,14,4,7,8,4,17,1,8,3,6
1972,1,2,14,13,6,2,13,4,0,8,5,16,2,13,5,3
1973,3,5,7,7,14,3,11,0,3,10,3,17,3,11,1,6
1974,4,3,10,13,16,3,13,2,6,12,2,21,3,11,1,5
1975,5,4,10,14,19,2,13,5,7,16,3,20,5,11,3,8
1976,7,5,12,14,14,3,17,3,7,15,6,27,4,11,5,8
1977,1,3,10,14,10,4,14,6,8,11,5,20,2,9,6,4
1978,1,5,12,11,9,2,14,4,7,8,4,17,1,8,3,6
1979,1,2,14,13,6,2,13,4,0,8,5,16,2,13,5,3
1980,4,6,14,18,15,2,14,3,0,11,7,25,4,16,2,8
1981,4,5,10,10,10,3,16,6,0,8,3,25,5,9,10,8
1982,3,2,4,12,12,4,18,1,0,9,2,22,2,9,8,5
1983,4,4,12,13,19,4,18,3,3,12,6,27,4,9,7,10
1984,5,3,8,12,8,4,14,2,3,10,3,19,3,6,9,4
1985,1,6,9,16,7,5,11,4,0,10,5,21,4,10,8,3
1986,0,6,15,16,8,4,16,0,0,12,7,26,4,8,12,3
1987,2,6,8,12,11,7,18,5,0,7,3,20,4,9,8,0
1988,2,3,7,10,14,7,12,6,0,8,4,19,8,13,8,1
1989,6,3,7,7,10,9,11,3,2,9,3,22,8,14,10,1
1990,5,4,9,6,17,8,13,2,9,10,0,27,5,16,6,1
1991,10,11,13,13,13,9,5,1,11,11,0,23,2,6,3,1
1992,6,5,14,5,8,13,9,3,9,7,0,23,2,9,0,3
1993,8,7,11,7,17,7,8,3,10,8,0,23,3,8,0,4
1994,5,7,12,10,13,11,10,4,8,9,0,28,5,7,3,5
1995,4,6,15,12,23,10,7,2,7,7,0,19,7,5,6,7
1996,3,10,14,13,23,14,8,6,4,9,0,24,9,8,5,7
1997,4,9,10,13,22,12,12,7,5,12,0,28,4,9,5,8
1998,7,6,11,12,22,10,9,8,7,14,0,18,2,11,2,5
1999,6,11,10,12,22,14,11,4,9,9,0,17,6,5,2,12
2000,6,8,10,15,27,15,8,3,13,10,0,21,3,7,4,1
2001,5,11,13,7,33,14,11,3,7,14,3,28,7,5,1,2
2002,3,11,11,9,34,13,10,5,7,13,0,25,8,2,2,1
2003,4,9,12,2,42,11,6,5,8,11,0,24,6,3,1,2
2004,7,12,13,9,48,12,11,7,9,13,1,27,7,2,0,4
2005,6,12,18,7,39,16,11,7,11,13,0,27,3,1,1,5
2006,4,12,13,9,29,15,10,5,7,12,0,20,1,5,5,5
2007,5,7,11,6,28,15,9,4,6,8,0,22,0,7,5,2
2008,6,11,12,4,35,17,8,7,8,11,0,18,2,7,4,8
2009,9,12,14,7,34,12,2,2,11,8,0,20,1,3,1,3
